K,epssqr,L,Theta0,Theta1,Gamma nbins,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
1,1,-0.169243,1.2152,11.9792,1,2, 0.0552871, 0.00594163, 0.0101337, 0.000932693, 0.0371213, 1, 2, 0.0007801055908203125, 0.00024080276489257812, 6.4611434936523438e-05, 6.1511993408203125e-05, 4.3153762817382812e-05, 2.384185791015625e-06, 5.245208740234375e-05, 0.00031518936157226562, -0.16924326289244446, -0.16924326289244446, 0, 3, 6, 0.0100806, 0.00102997, 0.000544786, 0.000237703, 0.000402927, 2.02656e-05, 0.000451803, 0.00739312, 
1,2,-0.169243,1.2152,11.9792,1,3, 0.0771244, 0.0060091, 0.0118947, 0.00118399, 0.0560818, 1, 2, 0.00084257125854492188, 0.00024104118347167969, 5.340576171875e-05, 5.8889389038085938e-05, 4.291534423828125e-05, 2.384185791015625e-06, 5.2928924560546875e-05, 0.0003910064697265625, -0.16924326289244446, -0.16924326289244446, 0, 5, 10, 0.0118241, 0.00155973, 0.000870466, 0.000460386, 0.000621557, 3.02792e-05, 0.000666618, 0.00761509, 
1,3,-0.169243,1.2152,11.9792,1,4, 0.100021, 0.00620246, 0.0135906, 0.0014205, 0.0760763, 1, 2, 0.00080537796020507812, 0.00024175643920898438, 5.3644180297851562e-05, 5.817413330078125e-05, 4.1961669921875e-05, 2.1457672119140625e-06, 5.3644180297851562e-05, 0.00035405158996582031, -0.16924326289244446, -0.16924326289244446, 0, 7, 14, 0.0134926, 0.00212669, 0.00114322, 0.00058198, 0.000837564, 4.02927e-05, 0.000918388, 0.00784445, 
1,4,-0.169243,1.2152,11.9792,1,5, 0.124364, 0.00640059, 0.0153534, 0.00169492, 0.0972605, 1, 2, 0.00086879730224609375, 0.00024127960205078125, 2.384185791015625e-06, 7.5101852416992188e-05, 4.5299530029296875e-05, 2.1457672119140625e-06, 5.5074691772460938e-05, 0.00044751167297363281, -0.16924326289244446, -0.16924326289244446, 0, 9, 18, 0.0152273, 0.00266695, 0.00136089, 0.000715733, 0.00108814, 5.05447e-05, 0.00116777, 0.00817728, 
1,5,-0.169243,1.2152,11.9792,1,6, 0.149502, 0.00651598, 0.0175614, 0.00198317, 0.118889, 1, 2, 0.0012955665588378906, 0.00028729438781738281, 5.6743621826171875e-05, 0.00010657310485839844, 9.72747802734375e-05, 2.384185791015625e-06, 0.0001506805419921875, 0.00059461593627929688, -0.16924326289244446, -0.16924326289244446, 0, 11, 22, 0.0174139, 0.00324678, 0.00163722, 0.000881433, 0.00153089, 6.05583e-05, 0.00151515, 0.00854182, 
1,6,-0.169243,1.2152,11.9792,1,7, 0.186422, 0.00674629, 0.0197723, 0.00252485, 0.151587, 1, 2, 0.0010352134704589844, 0.0002422332763671875, 5.4836273193359375e-05, 0.00020265579223632812, 6.7472457885742188e-05, 2.1457672119140625e-06, 6.2465667724609375e-05, 0.00040340423583984375, -0.16924326289244446, -0.16924326289244446, 0, 13, 26, 0.0195956, 0.00388384, 0.00198531, 0.00117707, 0.00179505, 7.05719e-05, 0.00186324, 0.00882053, 
1,7,-0.169243,1.2152,11.9792,1,8, 0.211344, 0.00688791, 0.0218759, 0.00285268, 0.173048, 1, 2, 0.00083613395690917969, 0.00024151802062988281, 5.53131103515625e-05, 7.1763992309570312e-05, 4.5537948608398438e-05, 2.1457672119140625e-06, 5.8650970458984375e-05, 0.00036120414733886719, -0.16924326289244446, -0.16924326289244446, 0, 15, 30, 0.0216737, 0.00457096, 0.00227451, 0.00133157, 0.00205851, 8.15392e-05, 0.0022347, 0.00912189, 
1,8,-0.169243,1.2152,11.9792,1,9, 0.237274, 0.00701547, 0.0238774, 0.00314736, 0.195565, 1, 2, 0.0009136199951171875, 0.00027704238891601562, 5.6505203247070312e-05, 6.2704086303710938e-05, 4.4107437133789062e-05, 2.1457672119140625e-06, 5.6982040405273438e-05, 0.00041413307189941406, -0.16924326289244446, -0.16924326289244446, 0, 17, 34, 0.023623, 0.00514126, 0.00250554, 0.00155616, 0.00229979, 9.32217e-05, 0.00255466, 0.00947237, 
1,9,-0.169243,1.2152,11.9792,1,10, 0.280444, 0.00715876, 0.0269852, 0.0034759, 0.218789, 1, 2, 0.0018205642700195312, 0.00034356117248535156, 8.3446502685546875e-05, 0.000385284423828125, 0.00029444694519042969, 3.814697265625e-06, 0.00033116340637207031, 0.00037884712219238281, -0.16924326289244446, -0.16924326289244446, 0, 19, 38, 0.026701, 0.00591564, 0.00282407, 0.0020442, 0.00282025, 0.000109434, 0.00314784, 0.00983953, 
1,10,-0.169243,1.2152,11.9792,1,11, 0.307767, 0.00729442, 0.0288136, 0.00374341, 0.242954, 1, 2, 0.00084733963012695312, 0.00024342536926269531, 6.0796737670898438e-05, 7.3194503784179688e-05, 4.673004150390625e-05, 2.384185791015625e-06, 5.9843063354492188e-05, 0.00036096572875976562, -0.16924326289244446, -0.16924326289244446, 0, 21, 42, 0.0285034, 0.00645351, 0.00311899, 0.0021801, 0.00310421, 0.000121355, 0.00341225, 0.010113, 
