K,epssqr,L,Theta0,Theta1,Theta2,Theta3,Gamma nbins,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
2,1,-0.401266,6.41338,66.8598,0.708157,6.59877,1724,8, 0.85922, 0.00790405, 0.628716, 0.0021925, 0.218399, 47, 48, 0.063976049423217773, 0.00027608871459960938, 8.8453292846679688e-05, 7.0095062255859375e-05, 5.6028366088867188e-05, 2.1457672119140625e-06, 6.7472457885742188e-05, 0.063415765762329102, -0.40126562988006914, -0.44648095792438125, 0.045215328044311866, 570, 579, 0.628483, 0.19665, 0.0607569, 0.0677335, 0.180794, 0.0145125, 0.0634036, 0.0446329, 
2,2,-0.375921,5.86039,61.605,0.758127,7.07733,1752,16, 2.9483, 0.0082891, 2.49327, 0.00439525, 0.438434, 70, 71, 0.076520204544067383, 0.00027179718017578125, 7.9870223999023438e-05, 6.3657760620117188e-05, 6.5088272094726562e-05, 2.1457672119140625e-06, 6.1511993408203125e-05, 0.075976133346557617, -0.37592059291104929, -0.40534068335460144, 0.029420090443552246, 2445, 2463, 2.49292, 0.771439, 0.220662, 0.365794, 0.694307, 0.0256839, 0.216762, 0.198274, 
2,3,-0.365278,5.85894,61.5438,0.786087,7.3843,1785,25, 5.6679, 0.00879312, 4.97829, 0.00675225, 0.668112, 70, 71, 0.079684972763061523, 0.00027179718017578125, 8.1539154052734375e-05, 9.5844268798828125e-05, 4.8398971557617188e-05, 2.1457672119140625e-06, 6.29425048828125e-05, 0.079122304916381836, -0.36527808570796882, -0.38871220187340277, 0.023434116165434053, 4710, 4738, 4.9778, 1.50726, 0.425378, 0.740734, 1.37558, 0.0505469, 0.509107, 0.369195, 
2,4,-0.359089,5.83496,61.4557,0.804744,7.57055,1794,34, 8.69805, 0.0093205, 7.74108, 0.00908303, 0.930569, 87, 88, 0.086536884307861328, 0.00026988983154296875, 7.82012939453125e-05, 7.05718994140625e-05, 5.0783157348632812e-05, 2.1457672119140625e-06, 7.05718994140625e-05, 0.085994720458984375, -0.35908918647781202, -0.37863751268017121, 0.019548326202358964, 7213, 7251, 7.74045, 2.29626, 0.661631, 1.13821, 2.17056, 0.0759113, 0.877948, 0.519935, 
2,5,-0.355072,5.85014,61.6776,0.818438,7.71351,1807,43, 11.9724, 0.0097611, 10.7831, 0.0113993, 1.15829, 68, 69, 0.083297252655029297, 0.00027132034301757812, 8.0108642578125e-05, 7.724761962890625e-05, 4.5299530029296875e-05, 2.1457672119140625e-06, 6.0319900512695312e-05, 0.082760810852050781, -0.35507223849963598, -0.3716650588447471, 0.016592820345111128, 9901, 9949, 10.7823, 3.18387, 0.949228, 1.55907, 3.08944, 0.102524, 1.2205, 0.677705, 
2,6,-0.352219,5.84418,61.6677,0.826983,7.80137,1812,51, 15.6597, 0.0103409, 14.2546, 0.0135183, 1.36944, 80, 81, 0.087159156799316406, 0.00027060508728027344, 8.0347061157226562e-05, 6.8187713623046875e-05, 4.8875808715820312e-05, 2.384185791015625e-06, 6.4611434936523438e-05, 0.0866241455078125, -0.35221865342027686, -0.36704122065941874, 0.014822567239141826, 12687, 12744, 14.2537, 4.03084, 1.223, 2.15194, 4.31365, 0.119392, 1.57772, 0.83712, 
2,7,-0.350027,5.85171,61.76,0.833435,7.87026,1821,59, 19.3313, 0.0108025, 17.7111, 0.015646, 1.56853, 111, 112, 0.13249874114990234, 0.00037097930908203125, 7.9870223999023438e-05, 6.8187713623046875e-05, 4.4584274291992188e-05, 2.384185791015625e-06, 6.103515625e-05, 0.13187170028686523, -0.35002708407297534, -0.36365611438599643, 0.013629030313021116, 15724, 15790, 17.7101, 5.0003, 1.49579, 2.74105, 5.42671, 0.137025, 1.89628, 1.01294, 
2,8,-0.348276,5.86587,61.8956,0.838762,7.92926,1828,67, 22.9617, 0.0112145, 21.1323, 0.0289292, 1.76222, 72, 73, 0.062454462051391602, 0.00025582313537597656, 7.7724456787109375e-05, 6.7949295043945312e-05, 6.6280364990234375e-05, 2.384185791015625e-06, 6.6518783569335938e-05, 0.061917781829833984, -0.34827620055874242, -0.36088592110433904, 0.012609720545596597, 18885, 18960, 21.1311, 5.93473, 1.79512, 3.18739, 6.5897, 0.155437, 2.25695, 1.21176, 
2,9,-0.346847,5.88807,62.0949,0.843453,7.98312,1833,75, 26.9136, 0.0116909, 24.8717, 0.0309973, 1.96694, 81, 82, 0.073950767517089844, 0.00027108192443847656, 8.1777572631835938e-05, 6.771087646484375e-05, 5.4121017456054688e-05, 2.384185791015625e-06, 7.6055526733398438e-05, 0.073397636413574219, -0.34684715603063704, -0.35851449781807621, 0.011667341787438994, 22389, 22473, 24.8704, 7.02108, 2.10383, 3.63858, 7.74231, 0.18667, 2.73741, 1.44049, 
2,10,-0.345662,5.91047,62.2761,0.847237,8.02866,1835,83, 31.2257, 0.0122099, 28.9336, 0.0331743, 2.21266, 58, 59, 0.074871301651000977, 0.00025606155395507812, 7.6770782470703125e-05, 9.0837478637695312e-05, 4.8398971557617188e-05, 2.384185791015625e-06, 6.2227249145507812e-05, 0.074334621429443359, -0.34566196781781922, -0.35654029947897353, 0.010878331661154265, 25937, 26030, 28.9322, 8.22578, 2.41433, 4.24811, 9.02368, 0.209541, 3.13414, 1.67663, 
