K,epssqr,L,Theta0,Theta1,Theta2,Theta3,Theta4,Theta5,Gamma nbins,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
3,1,-0.452208,9.87285,94.6937,0.64121,16.4051,0.825079,4.08802,2380,9, 1.60855, 0.00682998, 1.25202, 0.00315881, 0.344038, 78, 79, 0.10761761665344238, 0.00031065940856933594, 0.00011014938354492188, 8.3446502685546875e-05, 5.1975250244140625e-05, 2.1457672119140625e-06, 7.6532363891601562e-05, 0.10698270797729492, -0.45220791157931817, -0.51604538684238177, 0.063837475263063645, 954, 964, 1.25186, 0.385365, 0.106153, 0.150967, 0.335608, 0.0167134, 0.146227, 0.110829, 
3,2,-0.416713,1.01918,15.3418,0.701855,4.4958,7.81015,77.0802,2361,23, 6.40454, 0.00766492, 5.48771, 0.0082531, 0.895736, 75, 76, 0.10015296936035156, 0.00029730796813964844, 9.9897384643554688e-05, 7.05718994140625e-05, 4.8398971557617188e-05, 2.384185791015625e-06, 6.8187713623046875e-05, 0.099566221237182617, -0.41671312527908083, -0.45482737296782322, 0.038114247688742144, 3910, 3935, 5.48734, 1.4907, 0.461292, 0.864975, 1.69735, 0.0347469, 0.54497, 0.39331, 
3,3,-0.403933,7.19512,72.2348,0.706594,5.01274,1.12897,15.8299,2345,34, 11.2295, 0.00823712, 9.84334, 0.0125208, 1.3381, 84, 85, 0.12264919281005859, 0.00031018257141113281, 0.00010037422180175781, 6.6041946411132812e-05, 5.0067901611328125e-05, 2.384185791015625e-06, 6.961822509765625e-05, 0.12205052375793457, -0.40393295277072572, -0.42977810843566222, 0.025845155664936448, 7151, 7188, 9.84261, 2.74691, 0.835299, 1.4854, 3.13963, 0.0540977, 0.957759, 0.623502, 
3,4,-0.39739,6.88668,69.9017,1.19825,15.7747,0.700696,5.19463,2343,42, 15.0708, 0.00867057, 13.3765, 0.0157266, 1.64043, 159, 160, 0.22065615653991699, 0.000308990478515625, 0.0001010894775390625, 7.2002410888671875e-05, 5.6743621826171875e-05, 2.384185791015625e-06, 7.1287155151367188e-05, 0.22004365921020508, -0.39738960367961773, -0.41727024854944084, 0.019880644869823102, 9898, 9944, 13.3756, 3.7976, 1.15536, 2.06525, 4.21507, 0.0711484, 1.26467, 0.806537, 
3,5,-0.393333,0.699059,5.30278,1.23723,15.7852,6.73973,68.7586,2344,49, 19.9402, 0.00903821, 17.9884, 0.0184975, 1.89273, 122, 123, 0.16874885559082031, 0.00031185150146484375, 0.00010347366333007812, 6.5088272094726562e-05, 4.6253204345703125e-05, 2.384185791015625e-06, 6.7472457885742188e-05, 0.1681523323059082, -0.39333269433226542, -0.40997922655675018, 0.016646532224484825, 13267, 13321, 17.9874, 5.09775, 1.59972, 2.73796, 5.70143, 0.102832, 1.71421, 1.03354, 
3,6,-0.390486,0.699184,5.34667,1.24778,15.633,6.61622,67.8019,2343,58, 26.8598, 0.0094831, 24.5956, 0.0220108, 2.19902, 100, 101, 0.15414595603942871, 0.00030851364135742188, 0.00010466575622558594, 7.7962875366210938e-05, 5.1259994506835938e-05, 2.1457672119140625e-06, 6.67572021484375e-05, 0.1535346508026123, -0.39048620547431234, -0.40508748517148135, 0.014601279697168967, 17926, 17990, 24.5945, 6.87535, 2.16799, 3.71433, 7.88939, 0.131551, 2.40998, 1.40589, 
3,7,-0.388359,0.700288,5.38756,1.25938,15.5903,6.51885,67.0714,2335,65, 31.6788, 0.00985241, 29.1429, 0.0248995, 2.46555, 111, 112, 0.11488842964172363, 0.00030684471130371094, 0.0001010894775390625, 6.2465667724609375e-05, 4.2200088500976562e-05, 2.384185791015625e-06, 6.4134597778320312e-05, 0.11430931091308594, -0.38835945434332253, -0.40137927113822802, 0.013019816794905683, 21156, 21228, 29.1417, 8.10934, 2.58808, 4.42807, 9.5073, 0.151748, 2.75439, 1.60281, 
3,8,-0.386698,0.701114,5.41807,1.26965,15.5735,6.45128,66.582,2339,71, 35.7085, 0.0101638, 32.9448, 0.027277, 2.68884, 140, 141, 0.14007043838500977, 0.00040841102600097656, 0.00010156631469726562, 6.7949295043945312e-05, 4.5537948608398438e-05, 2.1457672119140625e-06, 6.9379806518554688e-05, 0.13937544822692871, -0.38669774953412223, -0.39858241715256143, 0.011884667618439185, 24381, 24460, 32.9435, 9.13811, 2.93832, 5.01539, 10.7946, 0.171781, 3.11417, 1.77116, 
3,9,-0.385352,0.701676,5.45228,1.28109,15.5951,6.40808,66.2682,2339,77, 39.8826, 0.0104821, 36.8928, 0.0296659, 2.91032, 119, 120, 0.17104649543762207, 0.00030827522277832031, 0.00010013580322265625, 6.29425048828125e-05, 4.57763671875e-05, 2.384185791015625e-06, 6.7472457885742188e-05, 0.17045950889587402, -0.38535150083172581, -0.39633029774062556, 0.0109787969088998, 27657, 27743, 36.8914, 10.1835, 3.29867, 5.55832, 12.2368, 0.192081, 3.49325, 1.92879, 
3,10,-0.384233,0.701867,5.48165,1.29126,15.6112,6.37253,66.0111,2335,83, 44.3984, 0.0110168, 41.1689, 0.0323038, 3.1448, 88, 89, 0.10835981369018555, 0.00029253959655761719, 9.632110595703125e-05, 7.152557373046875e-05, 4.7922134399414062e-05, 2.384185791015625e-06, 6.771087646484375e-05, 0.10778141021728516, -0.38423344388427205, -0.39450582749379537, 0.010272383609523521, 30848, 30941, 41.1674, 11.3075, 3.67874, 6.13981, 13.7023, 0.211825, 4.00921, 2.11801, 
