?imagename,width,height,K,depth,epssqr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
loremipsum,1000,1000,2,0,0.0,0.5,0.6,1, 0.298877, 0.00414491, 0.111767, 0, 0, 1, 2, 0.034981012344360352, 0.00057387351989746094, 0.0023429393768310547, 0.00060319900512695312, 1.5974044799804688e-05, 0, 0.0018110275268554688, 0.029633998870849609, 0.044014238730872977, 0.044014222079193907, 1.6651679061397401e-08, 1, 2, 0.034981, 0.00107193, 0.0250649, 0.000603199, 0.00243998, 1.78814e-05, 0.00480008, 0.000983, 
loremipsum,1000,1000,2,1,1e-06,0.5,0.6,2, 19.6808, 0.00680089, 19.3338, 0, 0, 341, 342, 19.140098094940186, 0.00062990188598632812, 0.0014019012451171875, 0.0005779266357421875, 1.3828277587890625e-05, 0, 0.0019211769104003906, 19.135553359985352, 0.039976473282245038, 0.039878679344722473, 9.7793937522567666e-05, 342, 344, 19.1751, 0.211614, 0.524667, 0.219166, 8.31762, 9.75132e-05, 0.685219, 9.2167, 
loremipsum,1000,1000,2,2,1e-05,0.5,0.6,3, 30.7744, 0.00945497, 30.2588, 0, 0, 214, 215, 10.820028066635132, 0.00060606002807617188, 0.0014109611511230469, 0.00066494941711425781, 1.3113021850585938e-05, 0, 0.0019309520721435547, 10.815402030944824, 0.040064485456672648, 0.040054701607373761, 9.7838492988830142e-06, 556, 559, 29.9951, 0.344975, 0.823995, 0.359632, 12.8163, 0.000152349, 1.10594, 14.5441, 
loremipsum,1000,1000,2,3,0.0001,0.5,0.6,4, 40.5116, 0.0121591, 39.8684, 0, 0, 154, 155, 9.5353598594665527, 0.00068497657775878906, 0.0013229846954345703, 0.00065088272094726562, 1.4066696166992188e-05, 0, 0.0019879341125488281, 9.5306990146636963, 0.040073286890276574, 0.040072303702906743, 9.8318736982106206e-07, 710, 714, 39.5305, 0.447509, 1.06594, 0.462827, 17.2268, 0.00020051, 1.42372, 18.9035, 
loremipsum,1000,1000,2,4,0.001,0.5,0.6,5, 45.1377, 0.014904, 44.3112, 0, 0, 80, 81, 4.3968460559844971, 0.00067687034606933594, 0.0014410018920898438, 0.00067901611328125, 1.3828277587890625e-05, 0, 0.00209808349609375, 4.391937255859375, 0.040074170524905542, 0.040074061156544452, 1.0936836092996918e-07, 790, 795, 43.9273, 0.49738, 1.18153, 0.515118, 18.9092, 0.00022769, 1.58755, 21.2363, 
loremipsum,1000,1000,2,5,0.01,0.5,0.6,6, 47.2415, 0.017653, 46.2673, 0, 0, 36, 37, 1.9067680835723877, 0.00064706802368164062, 0.0013749599456787109, 0.00075697898864746094, 1.4066696166992188e-05, 0, 0.0019850730895996094, 1.9019899368286133, 0.040074278531149976, 0.040074256453152948, 2.2077999334197581e-08, 826, 832, 45.8341, 0.520404, 1.23346, 0.53899, 19.7896, 0.000239611, 1.66087, 22.0905, 
loremipsum,1000,1000,2,6,0.1,0.5,0.6,7, 48.1472, 0.0203171, 47.0027, 0, 0, 12, 13, 0.60222196578979492, 0.00058794021606445312, 0.0013780593872070312, 0.00061392784118652344, 1.3113021850585938e-05, 0, 0.0019009113311767578, 0.59772801399230957, 0.04007432530387469, 0.040074301472854811, 2.3831018884341528e-08, 838, 845, 46.4363, 0.528231, 1.25153, 0.546701, 20.0901, 0.000243425, 1.68606, 22.3334, 
loremipsum,1000,1000,2,7,1,0.5,0.6,8, 49.0718, 0.0229743, 47.6996, 0, 0, 10, 11, 0.58708691596984863, 0.00060200691223144531, 0.0015327930450439453, 0.00068116188049316406, 1.5020370483398438e-05, 0, 0.0019509792327880859, 0.58230495452880859, 0.040074419138198952, 0.040074306106515731, 1.1303195895131086e-07, 848, 856, 47.0234, 0.535316, 1.26724, 0.553509, 20.3849, 0.00024724, 1.70784, 22.5743, 
loremipsum,1000,1000,2,8,10,0.5,0.6,9, 49.5748, 0.0256393, 48.059, 0, 0, 5, 6, 0.23728489875793457, 0.00065493583679199219, 0.0013840198516845703, 0.00075411796569824219, 1.4066696166992188e-05, 0, 0.0020518302917480469, 0.23242592811584473, 0.040075074395870859, 0.040074308107270272, 7.6629066004139045e-07, 853, 862, 47.2607, 0.538872, 1.2753, 0.55682, 20.5143, 0.000248194, 1.72003, 22.6551, 
loremipsum,1000,1000,2,9,100,0.5,0.6,10, 49.9848, 0.0283062, 48.3184, 0, 0, 5, 6, 0.17780709266662598, 0.00060892105102539062, 0.0013079643249511719, 0.00061798095703125, 1.5020370483398438e-05, 0, 0.0019030570983886719, 0.17335414886474609, 0.040080697739310972, 0.040074310340409071, 6.3873842525939955e-06, 858, 868, 47.4385, 0.542371, 1.28305, 0.560054, 20.587, 0.000250101, 1.73144, 22.7343, 
