?imagename,width,height,K,depth,epssqr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
loremipsum,1000,1000,2,0,0.0,0.5,0.6,1, 0.767086, 0.0042069, 0.614375, 0, 0, 10, 11, 0.52858376502990723, 0.00068402290344238281, 0.0013339519500732422, 0.00070309638977050781, 1.5020370483398438e-05, 0, 0.0020468235015869141, 0.52380084991455078, 27798.970698213107, 27703.886262459353, 95.084435753750995, 10, 11, 0.528584, 0.00905323, 0.0351608, 0.00704217, 0.216513, 2.12193e-05, 0.0268996, 0.233894, 
loremipsum,1000,1000,2,1,0.001,0.5,0.6,2, 1.84047, 0.00690079, 1.4771, 0, 0, 16, 17, 0.80732488632202148, 0.00062298774719238281, 0.0018980503082275391, 0.0007419586181640625, 1.4066696166992188e-05, 0, 0.0025680065155029297, 0.80147981643676758, 28617.832085300823, 27748.086481349565, 869.74560395125241, 26, 28, 1.33591, 0.0213294, 0.068949, 0.0176988, 0.558613, 2.55108e-05, 0.0619221, 0.607371, 
loremipsum,1000,1000,2,2,0.01,0.5,0.6,3, 4.19744, 0.00965691, 3.57318, 0, 0, 32, 33, 2.0256550312042236, 0.00065302848815917969, 0.0014269351959228516, 0.000701904296875, 1.3828277587890625e-05, 0, 0.0020840167999267578, 2.020775318145752, 33740.783819523713, 30234.01675999412, 3506.7670595295958, 58, 61, 3.36156, 0.0453918, 0.140441, 0.0451779, 1.27619, 3.43323e-05, 0.143028, 1.7113, 
loremipsum,1000,1000,2,3,0.05,0.5,0.6,4, 9.26876, 0.0123501, 8.4055, 0, 0, 85, 86, 4.8317909240722656, 0.00062894821166992188, 0.0013020038604736328, 0.0006999969482421875, 1.2874603271484375e-05, 0, 0.0019400119781494141, 4.827207088470459, 38222.093826340686, 36508.18412997276, 1713.9096963679219, 143, 147, 8.19335, 0.101968, 0.282327, 0.111894, 3.39221, 5.84126e-05, 0.319833, 3.98507, 
loremipsum,1000,1000,2,4,0.1,0.5,0.6,5, 21.2001, 0.0150039, 20.1716, 0, 0, 155, 156, 11.702745914459229, 0.00061106681823730469, 0.0013110637664794922, 0.00059986114501953125, 1.2874603271484375e-05, 0, 0.0018610954284667969, 11.698349952697754, 39134.425579801093, 38173.022789721283, 961.40279007980416, 298, 303, 19.8961, 0.21797, 0.613769, 0.246059, 9.52228, 0.000101328, 0.680111, 8.61581, 
loremipsum,1000,1000,2,5,0.5,0.5,0.6,6, 32.1419, 0.0176699, 30.966, 0, 0, 175, 176, 10.627648115158081, 0.00059485435485839844, 0.0014150142669677734, 0.0006198883056640625, 1.5020370483398438e-05, 0, 0.0020411014556884766, 10.622962236404419, 39913.915242357063, 39718.428444304009, 195.48679805305866, 473, 479, 30.5237, 0.337189, 0.91769, 0.3803, 14.0598, 0.000150919, 1.06099, 13.7676, 
loremipsum,1000,1000,2,6,1,0.5,0.6,7, 41.6495, 0.0203199, 40.3224, 0, 0, 150, 151, 9.2674009799957275, 0.00064396858215332031, 0.0031149387359619141, 0.0006561279296875, 1.5020370483398438e-05, 0, 0.0043148994445800781, 9.2586560249328613, 40011.647599520387, 39913.948330177067, 97.699269343314711, 623, 630, 39.7911, 0.457999, 1.22437, 0.491164, 18.5609, 0.000208378, 1.39773, 17.6588, 
loremipsum,1000,1000,2,7,5,0.5,0.6,8, 53.0038, 0.023042, 51.4904, 0, 0, 172, 173, 11.094646215438843, 0.00060915946960449219, 0.0014998912811279297, 0.00070595741271972656, 1.3828277587890625e-05, 0, 0.0019919872283935547, 11.089825391769409, 40089.833577154546, 40070.250522127273, 19.583055027279205, 795, 803, 50.8858, 0.574661, 1.55656, 0.612087, 24.0766, 0.000248432, 1.7557, 22.3099, 
loremipsum,1000,1000,2,8,10,0.5,0.6,9, 58.5986, 0.0257671, 56.9425, 0, 0, 92, 93, 5.3261950016021729, 0.00062394142150878906, 0.0030090808868408203, 0.00076818466186523438, 1.5020370483398438e-05, 0, 0.0023839473724365234, 5.3193948268890381, 40099.607075962645, 40089.820783256728, 9.7862927059198963, 887, 896, 56.212, 0.647361, 1.7617, 0.679876, 26.3645, 0.000279665, 1.95495, 24.8033, 
loremipsum,1000,1000,2,9,50,0.5,0.6,10, 64.5223, 0.0284262, 62.6909, 0, 0, 94, 95, 5.6524538993835449, 0.00063204765319824219, 0.0016858577728271484, 0.00072813034057617188, 1.4066696166992188e-05, 0, 0.002040863037109375, 5.647352933883667, 40107.437401906711, 40105.395145243361, 2.0422566633443675, 981, 991, 61.8644, 0.709603, 1.93148, 0.746942, 28.9583, 0.000304461, 2.15939, 27.3585, 
