image_name,width,height,noise,epssqr,K,architecture,N,Nthreads,Ngpu,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
usi,1000,600,04,0.000008,2,0,1,1,1,10, 138.442, 0.188988, 137.379, 0, 0, 1, 2, 0.027697324752807617, 0.0020570755004882812, 0.0042626857757568359, 0.0020382404327392578, 1.6689300537109375e-05, 0, 0.0044951438903808594, 0.014827489852905273, 0.10414817794219403, 0.10352613413219054, 0.00062204381000347951, 8841, 8861, 135.851, 18.1623, 38.1557, 17.8857, 21.6875, 0.00972295, 39.8688, 0.0810494, 
usi,500,300,04,0.000007,2,0,1,1,1,10, 22.5485, 0.0493047, 21.6252, 0, 0, 1, 2, 0.010657787322998047, 0.00067687034606933594, 0.0018608570098876953, 0.00069689750671386719, 1.6927719116210938e-05, 0, 0.0016293525695800781, 0.0057768821716308594, 0.10214682354537008, 0.10033868830649745, 0.001808135238872638, 3305, 3325, 19.2003, 2.18176, 6.09665, 2.21807, 3.40145, 0.00129294, 5.2762, 0.0249116, 
usi,250,150,02,0.000009,2,0,1,1,1,10, 80.0276, 0.0123963, 54.2503, 0, 0, 1, 2, 0.0047745704650878906, 0.00024485588073730469, 0.00089001655578613281, 0.00026416778564453125, 1.621246337890625e-05, 0, 0.00073719024658203125, 0.0026221275329589844, 0.038120702813692939, 0.036801923755180176, 0.0013187790585127692, 1068, 1088, 2.81758, 0.261334, 0.962738, 0.278656, 0.521315, 0.000421524, 0.783502, 0.00961304, 
usi,250,150,02,0.000004,2,0,1,1,1,10, 87.1169, 0.0128739, 57.6648, 0, 0, 1, 2, 0.0048015117645263672, 0.00024557113647460938, 0.00089430809020996094, 0.00026965141296386719, 1.5974044799804688e-05, 0, 0.0007171630859375, 0.002658843994140625, 0.036704461251045123, 0.034426901992926633, 0.0022775592581184877, 637, 657, 1.71209, 0.158578, 0.587701, 0.168915, 0.319193, 0.000247955, 0.468174, 0.00927663, 
usi,500,300,02,0.000090,2,0,1,1,1,10, 59.0382, 0.0476689, 58.8143, 0, 0, 1, 2, 0.010504245758056641, 0.00065708160400390625, 0.0018315315246582031, 0.00067687034606933594, 1.5735626220703125e-05, 0, 0.0016500949859619141, 0.0056729316711425781, 0.03949808791683266, 0.039376837436711852, 0.00012125048012081131, 10010, 10030, 58.2889, 6.57499, 18.3204, 6.7192, 10.2801, 0.00377631, 16.3606, 0.0298967, 
usi,500,300,02,0.000010,2,0,1,1,1,10, 20.5426, 0.0490301, 18.3756, 0, 0, 1, 2, 0.010578155517578125, 0.00066971778869628906, 0.0017819404602050781, 0.00069832801818847656, 1.621246337890625e-05, 0, 0.0016486644744873047, 0.0057632923126220703, 0.038698840314728464, 0.038123239253623251, 0.00057560106110520805, 2527, 2547, 14.7419, 1.68598, 4.55715, 1.70965, 2.60876, 0.000999928, 4.15468, 0.0247133, 
usi,500,300,00,0.000040,2,0,1,1,1,10, 63.4997, 0.0481164, 62.0298, 0, 0, 1, 2, 0.010534524917602539, 0.00067043304443359375, 0.0018277168273925781, 0.00068545341491699219, 1.6927719116210938e-05, 0, 0.0016102790832519531, 0.0057237148284912109, 0.0010964442237985535, 0.0009233401113092855, 0.00017310411248926811, 9879, 9899, 57.1967, 6.58072, 18.0698, 6.6635, 10.1213, 0.00380039, 15.7269, 0.0307589, 
usi,500,300,02,0.000080,2,0,1,1,1,10, 59.4291, 0.0487461, 58.7154, 0, 0, 1, 2, 0.010578155517578125, 0.0006732940673828125, 0.001850128173828125, 0.00067830085754394531, 1.621246337890625e-05, 0, 0.0016105175018310547, 0.0057497024536132812, 0.039483115948310249, 0.039346726547258432, 0.00013638940105181759, 10010, 10030, 57.8714, 6.6061, 18.3464, 6.70352, 10.2935, 0.00379848, 15.8879, 0.0302179, 
usi,250,150,10,0.000008,2,0,1,1,1,10, 59.3768, 0.0128796, 40.0725, 0, 0, 1, 2, 0.0047938823699951172, 0.00024247169494628906, 0.00089025497436523438, 0.00027704238891601562, 1.6689300537109375e-05, 0, 0.00072741508483886719, 0.0026400089263916016, 0.17441570222326847, 0.16646098143088162, 0.0079547207923868716, 754, 774, 2.00453, 0.184362, 0.688974, 0.198104, 0.366996, 0.000296593, 0.556515, 0.00928593, 
usi,250,150,10,0.000007,2,0,1,1,1,10, 81.4681, 0.0124931, 49.401, 0, 0, 1, 2, 0.0047717094421386719, 0.00024461746215820312, 0.00091075897216796875, 0.00026988983154296875, 1.6689300537109375e-05, 0, 0.00071644783020019531, 0.0026133060455322266, 0.17331601061638624, 0.16479727176485026, 0.0085187388515359994, 672, 692, 1.80169, 0.168448, 0.617911, 0.177841, 0.337192, 0.000263691, 0.490757, 0.00927496, 
