image_name,width,height,noise,epssqr,K,architecture,N,Nthreads,Ngpu,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
usi,1000,600,10,0.000010,6,0,1,1,1,13, 335.14, 0.639024, 329.743, 0, 0, 1, 2, 0.087161540985107422, 0.0090935230255126953, 0.014232397079467773, 0.0056619644165039062, 2.6702880859375e-05, 0, 0.012483835220336914, 0.045663118362426758, 0.17321763822430397, 0.15760821199462466, 0.015609426229679361, 6510, 6533, 314.233, 59.3426, 92.9996, 36.8765, 43.1125, 0.00825381, 81.6462, 0.247156, 
usi,1000,600,10,0.000009,6,0,1,1,1,11, 275.251, 0.579572, 272.259, 0, 0, 1, 2, 0.086515665054321289, 0.0089879035949707031, 0.014106512069702148, 0.0056486129760742188, 2.7418136596679688e-05, 0, 0.012492895126342773, 0.045252323150634766, 0.17148630824830907, 0.15417559530278196, 0.017310712945527086, 5510, 5531, 264.806, 50.0082, 77.917, 31.0806, 36.453, 0.00696397, 69.1178, 0.222825, 
usi,1000,600,10,0.000030,6,0,1,1,1,26, 646.775, 0.983497, 631.338, 0, 0, 1, 2, 0.086699247360229492, 0.0090718269348144531, 0.014224529266357422, 0.0056567192077636719, 2.8371810913085938e-05, 0, 0.012482404708862305, 0.045235395431518555, 0.1836670297640777, 0.17832551186797765, 0.0053415178961000107, 13010, 13046, 623.264, 117.87, 185.105, 73.6068, 83.8896, 0.0164285, 162.387, 0.388403, 
usi,1000,600,10,0.000003,6,0,1,1,1,10, 150.473, 0.542664, 147.723, 0, 0, 1, 2, 0.086291074752807617, 0.0091099739074707031, 0.014100790023803711, 0.0056025981903076172, 2.8133392333984375e-05, 2.384185791015625e-07, 0.012371301651000977, 0.045078039169311523, 0.1379697224912676, 0.091791449504701056, 0.046178272986566536, 3005, 3025, 143.71, 27.191, 42.6043, 16.8071, 19.5734, 0.00387192, 37.3212, 0.209424, 
usi,1000,600,10,0.000005,6,0,1,1,1,10, 249.674, 0.549689, 246.365, 0, 0, 1, 2, 0.087007045745849609, 0.0090458393096923828, 0.014108419418334961, 0.0056581497192382812, 2.8133392333984375e-05, 0, 0.012480258941650391, 0.045686244964599609, 0.15771452726393689, 0.12694246765656525, 0.030772059607371623, 5010, 5030, 240.304, 45.4802, 70.9394, 28.3547, 32.6994, 0.00623703, 62.6095, 0.21416, 
usi,1000,600,10,0.000002,6,0,1,1,1,10, 127.948, 0.538573, 124.71, 0, 0, 1, 2, 0.085793972015380859, 0.0090100765228271484, 0.014130115509033203, 0.0056116580963134766, 2.765655517578125e-05, 2.384185791015625e-07, 0.012388467788696289, 0.044625759124755859, 0.11788349493327685, 0.06666342865553232, 0.051220066277744537, 2315, 2335, 111.172, 20.9477, 32.8931, 12.9856, 15.1873, 0.00301409, 28.948, 0.207607, 
usi,1000,600,10,0.000004,6,0,1,1,1,10, 247.133, 0.542622, 243.936, 0, 0, 1, 2, 0.087093830108642578, 0.0090281963348388672, 0.014089345932006836, 0.0056352615356445312, 2.7894973754882812e-05, 0, 0.012396335601806641, 0.04591679573059082, 0.15008704120218833, 0.11238747054660748, 0.037699570655580848, 4916, 4936, 235.771, 44.7184, 69.5448, 27.7715, 32.2461, 0.00632167, 61.2712, 0.212489, 
usi,1000,600,10,0.000001,6,0,1,1,1,10, 88.7612, 0.541362, 86.513, 0, 0, 1, 2, 0.086260557174682617, 0.0088777542114257812, 0.014081239700317383, 0.0056517124176025391, 2.765655517578125e-05, 0, 0.0124053955078125, 0.045216798782348633, 0.084218229501279038, 0.040238247922092185, 0.043979981579186866, 1570, 1590, 75.4525, 14.0366, 22.393, 8.86327, 10.2528, 0.00200915, 19.6974, 0.207453, 
usi,1000,600,10,0.000007,6,0,1,1,1,10, 249.279, 0.546222, 246.132, 0, 0, 1, 2, 0.08657383918762207, 0.0090429782867431641, 0.014219522476196289, 0.0056421756744384766, 2.7894973754882812e-05, 2.384185791015625e-07, 0.012410402297973633, 0.045230627059936523, 0.16655200146813021, 0.14432984565505902, 0.022222155813071201, 5010, 5030, 240.271, 45.492, 71.2373, 28.2828, 32.5269, 0.0063262, 62.5135, 0.212473, 
usi,1000,600,10,0.000006,6,0,1,1,1,10, 255.432, 0.547434, 251.702, 0, 0, 1, 2, 0.086576938629150391, 0.0090003013610839844, 0.014202594757080078, 0.0056574344635009766, 2.6941299438476562e-05, 0, 0.012436866760253906, 0.045252799987792969, 0.16286019732781767, 0.13704796494560662, 0.025812232382211052, 5010, 5030, 240.233, 45.2619, 71.2689, 28.263, 32.679, 0.00643659, 62.5412, 0.212309, 
