nproc,max_record_nmb,K,depth,epssqr,Theta0,Theta1,Theta2,Theta3,Theta4,Theta5,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
4,10,6,0,1e-06,-200,-120,-40,40,120,200,1, 0.602252, 0.0010078, 0.595685, 0, 0, 15, 16, 0.59452104568481445, 0.00031399726867675781, 0.00064587593078613281, 0.00029802322387695312, 1.3113021850585938e-05, 0, 0.0012068748474121094, 0.59204316139221191, 0.21777040850837015, 0.21741887109374991, 0.00035153741462022034, 15, 16, 0.594521, 0.00515032, 0.0152581, 0.0043726, 0.205816, 8.10623e-06, 0.0203991, 0.343517, 
4,10,6,1,5e-06,-200,-120,-40,40,120,200,2, 2.75935, 0.00185299, 2.74668, 0, 0, 57, 58, 2.1499178409576416, 0.00029993057250976562, 0.00064802169799804688, 0.000308990478515625, 1.3113021850585938e-05, 0, 0.0012369155883789062, 2.1474108695983887, 0.85288166914304631, 0.67899765099622256, 0.17388401814682386, 72, 74, 2.74444, 0.023299, 0.0536361, 0.0210254, 1.22396, 1.95503e-05, 0.0923724, 1.33012, 
4,10,6,2,1e-05,-200,-120,-40,40,120,200,3, 5.25214, 0.00265121, 5.23304, 0, 0, 65, 66, 2.4855449199676514, 0.00029516220092773438, 0.00068020820617675781, 0.00029397010803222656, 1.4066696166992188e-05, 0, 0.0012559890747070312, 2.4830055236816406, 0.97228522499506886, 0.80142886254578194, 0.1708563624492869, 137, 140, 5.22998, 0.0437934, 0.097882, 0.0398316, 2.37715, 3.17097e-05, 0.175053, 2.49624, 
4,10,6,3,5e-05,-200,-120,-40,40,120,200,4, 14.0713, 0.00350738, 14.0462, 0, 0, 242, 243, 8.8122859001159668, 0.0002880096435546875, 0.00067400932312011719, 0.00030517578125, 1.2874603271484375e-05, 0, 0.0012280941009521484, 8.8097777366638184, 1.1850427546903721, 1.1176712614165389, 0.0673714932738331, 379, 383, 14.0423, 0.117721, 0.262333, 0.108776, 6.52725, 7.12872e-05, 0.47919, 6.54693, 
4,10,6,4,0.0001,-200,-120,-40,40,120,200,5, 24.6631, 0.00427341, 24.632, 0, 0, 231, 232, 10.58474588394165, 0.00035786628723144531, 0.00064706802368164062, 0.0002899169921875, 1.4066696166992188e-05, 0, 0.0012209415435791016, 10.582216024398804, 1.2187237530314761, 1.1850146209232444, 0.03370913210823169, 610, 615, 24.627, 0.188185, 0.418207, 0.175483, 11.5281, 0.000108242, 0.769447, 11.5475, 
4,10,6,5,0.0005,-200,-120,-40,40,120,200,6, 37.4928, 0.00504136, 37.4556, 0, 0, 283, 284, 12.822755098342896, 0.00030493736267089844, 0.00064897537231445312, 0.00027894973754882812, 1.3113021850585938e-05, 1.1920928955078125e-06, 0.0012118816375732422, 12.820296049118042, 1.2456699594527798, 1.2389171099763552, 0.0067528494764248553, 893, 899, 37.4498, 0.275352, 0.608024, 0.257313, 17.5538, 0.000164032, 1.12377, 17.6313, 
4,10,6,6,0.001,-200,-120,-40,40,120,200,7, 43.5864, 0.00581121, 43.5428, 0, 0, 121, 122, 6.0861599445343018, 0.00029802322387695312, 0.00066781044006347656, 0.000286102294921875, 1.3113021850585938e-05, 0, 0.0012869834899902344, 6.0836079120635986, 1.2490421725440612, 1.2456137963276719, 0.0034283762163890845, 1014, 1021, 43.5359, 0.313316, 0.689553, 0.293221, 20.4956, 0.00018239, 1.27596, 20.4681, 
4,10,6,7,0.005,-200,-120,-40,40,120,200,8, 48.5159, 0.00658011, 48.4662, 0, 0, 108, 109, 4.9223220348358154, 0.00029397010803222656, 0.00065898895263671875, 0.00030303001403808594, 1.2874603271484375e-05, 0, 0.0012080669403076172, 4.9198451042175293, 1.2517569041533472, 1.251057103660542, 0.0006998004928059577, 1122, 1130, 48.4583, 0.347082, 0.761949, 0.324634, 22.8819, 0.000196218, 1.412, 22.7304, 
4,10,6,8,0.01,-200,-120,-40,40,120,200,9, 50.5537, 0.00734496, 50.4969, 0, 0, 37, 38, 2.0296320915222168, 0.0003299713134765625, 0.00066304206848144531, 0.00031900405883789062, 1.2874603271484375e-05, 0, 0.001232147216796875, 2.0270750522613525, 1.252124412564307, 1.2516762700571937, 0.00044814250710946781, 1159, 1168, 50.4879, 0.358652, 0.787465, 0.335091, 23.8949, 0.000202179, 1.45957, 23.652, 
4,10,6,9,0.05,-200,-120,-40,40,120,200,10, 51.8528, 0.008111, 51.7898, 0, 0, 29, 30, 1.2921271324157715, 0.00029683113098144531, 0.00068116188049316406, 0.00026988983154296875, 1.3113021850585938e-05, 0, 0.0012230873107910156, 1.2896430492401123, 1.2525841252796825, 1.2523013685333018, 0.00028275674640576001, 1188, 1198, 51.78, 0.367725, 0.807497, 0.343201, 24.5059, 0.000210285, 1.49719, 24.2583, 
