n,sigmaid,K,epssqr_best,abserr_best,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
61,2,2,0.001,0.0472981,1,2,832, 225.514, 0.15558, 224.269, 0, 0, 260, 261, 0.17215156555175781, 8.487701416015625e-05, 9.5605850219726562e-05, 0.00010609626770019531, 1.4781951904296875e-05, 0, 0.00021958351135253906, 0.1716306209564209, 1.1787214490813769, 1.1781174124409928, 0.00060403664038425264, 335476, 336323, 221.404, 28.3416, 32.1623, 35.6016, 50.4988, 0.105509, 74.2435, 0.45014, 
94,9,2,100,0.456677,1,2,446, 179.203, 0.0856173, 178.416, 0, 0, 1000, 1001, 0.66018271446228027, 8.487701416015625e-05, 9.7990036010742188e-05, 0.00010585784912109375, 1.4543533325195312e-05, 0, 0.00021958351135253906, 0.65965986251831055, 13039.16300992662, 13038.393939151258, 0.76907077536241941, 263867, 264333, 174.349, 22.4883, 25.9201, 27.9136, 39.4349, 0.0800233, 58.2094, 0.30257, 
82,2,2,0.001,0.0469012,1,2,837, 267.264, 0.158553, 265.942, 0, 0, 1000, 1001, 0.65546131134033203, 8.4400177001953125e-05, 9.4890594482421875e-05, 0.00010514259338378906, 1.430511474609375e-05, 2.384185791015625e-07, 0.00021815299987792969, 0.65494418144226074, 1.1784426477685219, 1.1731875731866162, 0.0052550745816177013, 399934, 400786, 262.334, 33.5454, 38.2299, 42.1593, 59.8422, 0.123769, 87.9429, 0.490466, 
8,10,2,0.1,0.488756,1,2,298, 162.79, 0.0591409, 162.295, 0, 0, 1000, 1001, 0.6623380184173584, 8.4161758422851562e-05, 9.822845458984375e-05, 0.00010704994201660156, 1.4066696166992188e-05, 0, 0.00022029876708984375, 0.66181421279907227, 52494.466504973039, 52492.425064803465, 2.0414401695816062, 242650, 242969, 160.72, 20.3839, 24.0445, 25.8316, 36.5617, 0.0745776, 53.5611, 0.262977, 
47,8,2,0.5,0.4732,1,2,611, 195.887, 0.117653, 194.87, 0, 0, 1000, 1001, 0.66019511222839355, 8.4161758422851562e-05, 9.9658966064453125e-05, 0.00010585784912109375, 1.4066696166992188e-05, 2.384185791015625e-07, 0.00021958351135253906, 0.65967154502868652, 3239.2248280391632, 3238.7768317112118, 0.4479963279514757, 292514, 293143, 193.504, 24.6728, 28.8424, 31.0354, 43.8739, 0.0911379, 64.6262, 0.362607, 
23,1,2,0.0005,0.0154278,1,2,871, 222.723, 0.164884, 221.319, 0, 0, 475, 476, 0.31384396553039551, 8.4638595581054688e-05, 9.8705291748046875e-05, 0.00010657310485839844, 1.4066696166992188e-05, 0, 0.00022029876708984375, 0.31331968307495117, 0.56840779395984686, 0.56749767636000004, 0.0009101175998913046, 329923, 330809, 218.167, 27.9839, 32.7163, 35.1867, 48.6579, 0.103445, 73.0685, 0.450725, 
50,9,2,1,0.48623,1,2,567, 191.341, 0.110195, 190.33, 0, 0, 1000, 1001, 0.65763330459594727, 8.5115432739257812e-05, 9.8705291748046875e-05, 0.00010609626770019531, 1.4066696166992188e-05, 0, 0.00021910667419433594, 0.65711021423339844, 13355.264128785835, 13354.627240376612, 0.63688840922126622, 287952, 288538, 189.535, 24.2415, 28.474, 30.4881, 42.3896, 0.0899861, 63.4917, 0.360462, 
78,7,2,0.1,0.448921,1,2,627, 233.671, 0.120606, 232.692, 0, 0, 1000, 1001, 0.65468001365661621, 8.3446502685546875e-05, 9.441375732421875e-05, 0.00010657310485839844, 1.4066696166992188e-05, 0, 0.00021839141845703125, 0.65416312217712402, 797.37834727682434, 797.20570770940935, 0.17263956741481445, 354015, 354659, 231.918, 29.5399, 33.6089, 37.4864, 53.0214, 0.109854, 77.7429, 0.408458, 
43,7,2,0.1,0.46661,1,2,645, 253.102, 0.121426, 251.956, 0, 0, 1000, 1001, 0.65478634834289551, 8.4161758422851562e-05, 9.8705291748046875e-05, 0.00010609626770019531, 1.4781951904296875e-05, 0, 0.00021648406982421875, 0.6542661190032959, 809.55633362605602, 809.40983981392935, 0.14649381212663873, 382207, 382870, 250.493, 32.2288, 37.8251, 40.5207, 56.278, 0.113647, 83.0937, 0.43291, 
83,2,2,0.001,0.0427743,1,2,862, 196.184, 0.164371, 194.823, 0, 0, 23, 24, 0.016061782836914062, 8.1539154052734375e-05, 9.6797943115234375e-05, 0.00010204315185546875, 1.3828277587890625e-05, 0, 0.00021886825561523438, 0.0155487060546875, 1.1606651778635151, 1.160228522431757, 0.000436655431647046, 283749, 284627, 187.735, 23.9339, 28.1806, 29.9118, 42.7004, 0.0875311, 62.5052, 0.415604, 
