n,sigmaid,K,epssqr_best,abserr_best,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
23,1,2,1e-14,2.22045e-20,1,2,757, 211.277, 0.141389, 210.104, 0, 0, 42, 43, 0.028170585632324219, 8.2731246948242188e-05, 9.5367431640625e-05, 0.00010514259338378906, 1.4781951904296875e-05, 0, 0.00021910667419433594, 0.02765345573425293, 0.38120595949146757, 0.38036473836406665, 0.00084122112744534298, 319650, 320424, 209.195, 26.6626, 30.4934, 33.6703, 47.65, 0.0983653, 70.2139, 0.406541, 
30,5,2,0.01,0.131547,1,2,834, 274.449, 0.156396, 273.186, 0, 0, 124, 125, 0.08167266845703125, 8.4400177001953125e-05, 9.822845458984375e-05, 0.00010585784912109375, 1.4066696166992188e-05, 0, 0.00021529197692871094, 0.081154823303222656, 4.6272544343911113, 4.6245105337382313, 0.0027439006530232211, 412957, 413808, 269.813, 34.7549, 40.6773, 43.6775, 60.5634, 0.121151, 89.521, 0.497582, 
26,9,2,1,0.459982,1,2,611, 257.454, 0.116956, 256.52, 0, 0, 1000, 1001, 0.65691399574279785, 8.4400177001953125e-05, 9.7513198852539062e-05, 0.00010514259338378906, 1.4066696166992188e-05, 2.384185791015625e-07, 0.00021719932556152344, 0.65639543533325195, 1100.0090625374969, 1099.7933071614366, 0.21575537606029221, 388469, 389098, 255.611, 32.8322, 38.079, 41.1047, 58.0308, 0.120055, 85.008, 0.436615, 
40,2,2,1e-14,0,1,2,772, 224.333, 0.147501, 223.132, 0, 0, 928, 929, 0.60909652709960938, 8.6307525634765625e-05, 9.7751617431640625e-05, 0.00010585784912109375, 1.4066696166992188e-05, 0, 0.00021696090698242188, 0.60857558250427246, 0.4333813038424153, 0.43235274932566614, 0.0010285545167936787, 334708, 335497, 220.054, 28.525, 33.1738, 35.5293, 49.4111, 0.107995, 72.8741, 0.432486, 
3,7,2,0.1,0.356068,1,2,736, 297.304, 0.139728, 296.141, 0, 0, 1000, 1001, 0.657318115234375, 8.4161758422851562e-05, 9.7751617431640625e-05, 0.00010538101196289062, 1.4066696166992188e-05, 0, 0.00021862983703613281, 0.65679812431335449, 68.681226519584811, 68.630791526692519, 0.050434992892464753, 449338, 450090, 295.071, 37.8674, 44.0029, 47.1829, 66.9529, 0.136972, 98.4171, 0.510715, 
11,7,2,0.1,0.373509,1,2,823, 280.188, 0.154383, 278.899, 0, 0, 221, 222, 0.14516305923461914, 8.3446502685546875e-05, 9.8466873168945312e-05, 0.00010585784912109375, 1.3828277587890625e-05, 0, 0.00021457672119140625, 0.14464688301086426, 69.009161610341906, 68.93900212907586, 0.070159481266045196, 424888, 425726, 277.892, 35.5802, 41.9055, 44.6062, 63.3266, 0.133079, 91.8333, 0.507192, 
76,3,2,0.0005,0.0184418,1,2,864, 251.832, 0.159902, 250.412, 0, 0, 363, 364, 0.23753643035888672, 8.5115432739257812e-05, 9.7990036010742188e-05, 0.00010657310485839844, 1.4066696166992188e-05, 0, 0.00021481513977050781, 0.23701786994934082, 0.63501890054434906, 0.63293821700839692, 0.0020806835360299776, 381142, 382022, 249.264, 32.0166, 37.5778, 40.4929, 55.8424, 0.116963, 82.7439, 0.473332, 
40,4,2,0.005,0.0559453,1,2,816, 242.27, 0.151711, 241.03, 0, 0, 528, 529, 0.34487295150756836, 8.3208084106445312e-05, 9.822845458984375e-05, 0.00010609626770019531, 1.4066696166992188e-05, 2.384185791015625e-07, 0.00021600723266601562, 0.34435510635375977, 1.4170389482828596, 1.4164107369263883, 0.0006282113565600876, 365597, 366429, 239.226, 30.6381, 36.0846, 38.8908, 53.7125, 0.114512, 79.3218, 0.463353, 
35,5,2,0.01,0.14903,1,2,904, 289.195, 0.169041, 287.856, 0, 0, 661, 662, 0.43641018867492676, 8.5115432739257812e-05, 9.822845458984375e-05, 0.00010657310485839844, 1.3828277587890625e-05, 2.384185791015625e-07, 0.00021910667419433594, 0.43588709831237793, 4.6550370490966575, 4.6521184715847719, 0.0029185775116520817, 434209, 435129, 286.819, 36.7615, 42.6073, 46.1082, 65.0026, 0.133902, 95.6729, 0.532298, 
4,9,2,100,0.446655,1,2,669, 256.867, 0.128824, 255.819, 0, 0, 1000, 1001, 0.66069865226745605, 8.4638595581054688e-05, 9.8466873168945312e-05, 0.00010561943054199219, 1.430511474609375e-05, 2.384185791015625e-07, 0.00021815299987792969, 0.66017723083496094, 1080.5301036366975, 1080.3382794610839, 0.19182417561375761, 381050, 381737, 252.382, 32.2333, 37.5791, 40.5356, 57.2184, 0.116924, 84.2599, 0.438284, 
33,4,2,0.005,0.0529651,1,2,854, 216.843, 0.160601, 215.522, 0, 0, 270, 271, 0.1781005859375, 8.3446502685546875e-05, 9.5129013061523438e-05, 0.00010585784912109375, 1.4543533325195312e-05, 0, 0.00021958351135253906, 0.1775820255279541, 1.4139540073005468, 1.4133854441528622, 0.00056856314756255095, 325622, 326492, 214.483, 27.337, 31.1869, 34.4847, 48.9493, 0.101341, 71.9781, 0.445775, 
89,1,2,1e-14,0,1,2,801, 214.276, 0.152264, 213.069, 0, 0, 86, 87, 0.057159662246704102, 8.487701416015625e-05, 9.822845458984375e-05, 0.00010633468627929688, 1.4781951904296875e-05, 0, 0.00021576881408691406, 0.056639671325683594, 0.38329505169620426, 0.3822599855179451, 0.001035066178148179, 323694, 324512, 212.132, 27.7695, 31.9292, 34.2198, 47.568, 0.098278, 70.1188, 0.428314, 
16,5,2,0.01,0.119094,1,2,733, 225.774, 0.137992, 224.638, 0, 0, 147, 148, 0.097128391265869141, 8.392333984375e-05, 9.7990036010742188e-05, 0.00010633468627929688, 1.4066696166992188e-05, 2.384185791015625e-07, 0.00021886825561523438, 0.096606969833374023, 4.624051607897008, 4.6234438311508326, 0.0006077767460857678, 340802, 341552, 223.69, 28.6748, 33.5963, 36.106, 49.889, 0.105219, 74.8927, 0.426067, 
18,10,2,0.5,0.474657,1,2,661, 197.007, 0.126694, 196.027, 0, 0, 1000, 1001, 0.65908098220825195, 8.58306884765625e-05, 9.8943710327148438e-05, 0.00010704994201660156, 1.4543533325195312e-05, 0, 0.00021600723266601562, 0.65855860710144043, 4429.6798902164746, 4429.2012497865826, 0.47864042989088729, 292465, 293144, 193.097, 24.9084, 29.0316, 31.0342, 44.036, 0.0925832, 63.6201, 0.374529, 
50,6,2,0.05,0.245217,1,2,853, 291.749, 0.162309, 290.451, 0, 0, 1000, 1001, 0.65738391876220703, 8.392333984375e-05, 9.918212890625e-05, 0.00010704994201660156, 1.3828277587890625e-05, 2.384185791015625e-07, 0.00021672248840332031, 0.65686297416687012, 17.182437633176697, 17.164865290214991, 0.017572342961753019, 439381, 440250, 289.404, 36.8344, 43.569, 46.8303, 65.0197, 0.138794, 96.4893, 0.522872, 
40,6,2,0.05,0.257888,1,2,834, 317.132, 0.158621, 315.862, 0, 0, 1000, 1001, 0.65519547462463379, 8.3684921264648438e-05, 9.5605850219726562e-05, 0.00010538101196289062, 1.4543533325195312e-05, 0, 0.00021886825561523438, 0.65467739105224609, 17.297336544041368, 17.285281828766934, 0.012054715274375847, 476836, 477685, 312.538, 39.8252, 45.426, 50.4285, 71.3672, 0.14459, 104.804, 0.542994, 
9,2,2,1e-14,0,1,2,754, 213.386, 0.143422, 212.226, 0, 0, 220, 221, 0.14503908157348633, 8.392333984375e-05, 9.7990036010742188e-05, 0.00010538101196289062, 1.4781951904296875e-05, 0, 0.00021600723266601562, 0.14452099800109863, 0.4341893325742841, 0.43325168178733092, 0.00093765078691991437, 322173, 322944, 211.318, 27.0052, 31.7371, 33.9515, 48.3415, 0.0984657, 69.7775, 0.407121, 
