?ncpus,K,epssqr,abserr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
9,2,100000,4.8854e+06,1,2,1, 86.6108, 0.014035, 86.2909, 0, 0, 714, 715, 86.076774835586548, 0.079241037368774414, 0.010984182357788086, 0.0042760372161865234, 0.0054681301116943359, 0, 0.0095188617706298828, 85.967286586761475, 999.89823679235394, 999.7753324499962, 0.12290434235810656, 714, 715, 86.0768, 57.2287, 8.01157, 3.00586, 10.9562, 0.000373363, 6.83544, 0.038635, 
2,2,100000,4.76972e+06,1,2,1, 395.217, 0.061379, 394.544, 0, 0, 663, 664, 394.4929678440094, 0.37649297714233398, 0.051829814910888672, 0.019944906234741211, 0.02557682991027832, 0, 0.069120883941650391, 393.95000243186951, 999.75638064076634, 999.56256271155519, 0.19381792920374299, 663, 664, 394.493, 239.088, 33.6344, 12.8775, 63.5365, 0.000301123, 44.7784, 0.577356, 
3,2,100000,4.84189e+06,1,2,1, 233.463, 0.0405002, 233.001, 0, 0, 590, 591, 232.92083406448364, 0.23695111274719238, 0.032173871994018555, 0.012817859649658203, 0.016701936721801758, 9.5367431640625e-07, 0.04443812370300293, 232.57775020599365, 999.83934040580868, 999.69247755377501, 0.14686285202954724, 590, 591, 232.921, 141.199, 19.6648, 7.59484, 37.4007, 0.000240326, 26.2819, 0.779089, 
8,2,100000,4.84131e+06,1,2,1, 93.4825, 0.0157211, 93.1714, 0, 0, 684, 685, 92.858883142471313, 0.089257001876831055, 0.012089014053344727, 0.0047850608825683594, 0.0061280727386474609, 0, 0.010789871215820312, 92.735834121704102, 999.8379363829938, 999.68774796258094, 0.15018842041008126, 684, 685, 92.8589, 61.6379, 8.65317, 3.32738, 11.8225, 0.000294209, 7.39125, 0.0263588, 
11,2,100000,4.87933e+06,1,2,1, 73.306, 0.0113389, 72.8831, 0, 0, 734, 735, 72.592789173126221, 0.065374135971069336, 0.0093770027160644531, 0.0033750534057617188, 0.0043900012969970703, 0, 0.0077798366546630859, 72.502493143081665, 999.88935971434375, 999.76295326444324, 0.12640644989686378, 734, 735, 72.5928, 48.4421, 6.84646, 2.49477, 9.04949, 0.000261068, 5.74029, 0.0194473, 
4,2,100000,4.79291e+06,1,2,1, 195.738, 0.031492, 195.359, 0, 0, 660, 661, 195.26979398727417, 0.17712306976318359, 0.024486064910888672, 0.009693145751953125, 0.012376070022583008, 0, 0.03374791145324707, 195.01236772537231, 999.78615088435981, 999.57540295830825, 0.21074792605363174, 660, 661, 195.27, 118.379, 16.5674, 6.46829, 31.4687, 0.00028348, 22.3528, 0.0332775, 
7,2,100000,4.88207e+06,1,2,1, 169.146, 0.017889, 168.741, 0, 0, 1075, 1076, 168.62324500083923, 0.10226082801818848, 0.014197111129760742, 0.0054309368133544922, 0.0069301128387451172, 0, 0.012373924255371094, 168.48205208778381, 999.89428622599678, 999.77123884927801, 0.12304737672358909, 1075, 1076, 168.623, 112.304, 15.6844, 5.86895, 21.2742, 0.000571489, 13.4587, 0.0323765, 
6,2,100000,4.62492e+06,1,2,1, 249.439, 0.020817, 249.118, 0, 0, 1355, 1356, 248.91274809837341, 0.12549996376037598, 0.017500162124633789, 0.0065610408782958984, 0.0084080696105957031, 0, 0.014568090438842773, 248.74021077156067, 999.63548076505663, 999.30434775128163, 0.3311330137794436, 1355, 1356, 248.913, 166.335, 22.5927, 8.86652, 31.6998, 0.000632286, 19.3943, 0.0241978, 
5,2,100000,4.88285e+06,1,2,1, 150.835, 0.0242479, 150.436, 0, 0, 693, 694, 150.24633383750916, 0.14259815216064453, 0.020197868347167969, 0.0078070163726806641, 0.0099198818206787109, 0, 0.017394065856933594, 150.04841685295105, 999.89396814071279, 999.76786132383722, 0.12610681687634764, 693, 694, 150.246, 99.7682, 13.576, 5.41508, 19.4958, 0.000298738, 11.9674, 0.0236712, 
12,2,100000,4.80704e+06,1,2,1, 79.7823, 0.010318, 79.3277, 0, 0, 873, 874, 78.990196943283081, 0.059901952743530273, 0.0088279247283935547, 0.0031070709228515625, 0.0039777755737304688, 0, 0.0071401596069335938, 78.907242059707642, 999.79877965207197, 999.63847649791308, 0.16030315415758362, 873, 874, 78.9902, 52.6983, 7.50445, 2.69195, 9.78849, 0.000400782, 6.27693, 0.0296578, 
