?ncpus,K,epssqr,abserr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
12,2,100000,5.95865e+06,1,2,1, 65.5535, 0.0126328, 64.9601, 0, 0, 586, 587, 64.720099925994873, 0.073128223419189453, 0.010567903518676758, 0.0037870407104492188, 0.0048480033874511719, 9.5367431640625e-07, 0.0086319446563720703, 64.619135856628418, 1012.123466539747, 1012.0068829731105, 0.11658356659115533, 586, 587, 64.7201, 43.1625, 6.16026, 2.2519, 8.0269, 0.000204563, 5.07275, 0.0455489, 
5,2,100000,2.49544e+06,1,2,1, 44.3894, 0.0121369, 44.0683, 0, 0, 403, 404, 44.011912822723389, 0.07218480110168457, 0.0099599361419677734, 0.0037419795989990234, 0.0048270225524902344, 0, 0.0085818767547607422, 43.912617206573486, 1012.1830573888603, 1012.0844831612985, 0.098574227528023306, 403, 404, 44.0119, 29.3519, 4.15147, 1.53281, 5.4707, 0.000177145, 3.46834, 0.0365396, 
6,2,100000,2.99408e+06,1,2,1, 41.8344, 0.012181, 41.5392, 0, 0, 379, 380, 41.35387110710144, 0.072377920150756836, 0.010351896286010742, 0.0038099288940429688, 0.0048968791961669922, 0, 0.0084748268127441406, 41.253959655761719, 1012.1808698589634, 1012.0820493826545, 0.098820476305219035, 379, 380, 41.3539, 27.5485, 3.9141, 1.46692, 5.18634, 0.000200748, 3.22525, 0.0125294, 
2,2,100000,1.00124e+06,1,2,1, 31.4993, 0.012203, 31.1683, 0, 0, 285, 286, 31.05717396736145, 0.071796178817749023, 0.0097289085388183594, 0.0039200782775878906, 0.0049581527709960938, 0, 0.0084669589996337891, 30.958303689956665, 1012.249703434056, 1012.1471650092469, 0.1025384247220705, 285, 286, 31.0572, 20.6338, 2.91002, 1.10684, 3.92376, 0.000115395, 2.4363, 0.0463507, 
9,2,100000,4.4802e+06,1,2,1, 46.3608, 0.0123091, 45.7575, 0, 0, 416, 417, 45.578100919723511, 0.07219696044921875, 0.0098538398742675781, 0.0038831233978271484, 0.0048458576202392578, 0, 0.0087020397186279297, 45.47861909866333, 1012.151254645881, 1012.0347074433339, 0.11654720252141759, 416, 417, 45.5781, 30.2567, 4.37116, 1.61284, 5.67355, 0.000144243, 3.62102, 0.0426371, 
4,2,100000,1.99036e+06,1,2,1, 31.7132, 0.012495, 31.4498, 0, 0, 287, 288, 31.379479885101318, 0.071990966796875, 0.010007858276367188, 0.0038220882415771484, 0.0049338340759277344, 0, 0.0084280967712402344, 31.280297040939331, 1012.1511958242659, 1012.0233909312042, 0.12780489307561049, 287, 288, 31.3795, 20.8871, 3.02561, 1.09184, 3.92023, 9.29832e-05, 2.41356, 0.0411026, 
10,2,100000,4.91261e+06,1,2,1, 62.1544, 0.0125411, 61.7465, 0, 0, 559, 560, 61.442456007003784, 0.072697162628173828, 0.01055908203125, 0.0038518905639648438, 0.0048999786376953125, 0, 0.0086550712585449219, 61.341792821884155, 1012.0414620796703, 1011.8676758981521, 0.17378618157617307, 559, 560, 61.4425, 40.8914, 5.8464, 2.15144, 7.69227, 0.000211716, 4.82733, 0.0334272, 
3,2,100000,1.50092e+06,1,2,1, 26.4063, 0.0126569, 26.2003, 0, 0, 238, 239, 26.139667987823486, 0.072277069091796875, 0.0096979141235351562, 0.0037620067596435547, 0.0049359798431396484, 0, 0.0083789825439453125, 26.040616035461426, 1012.2304796437505, 1012.1323155125543, 0.098164131165753232, 238, 239, 26.1397, 17.4498, 2.46053, 0.908494, 3.25805, 9.82285e-05, 2.02054, 0.042181, 
1,2,100000,500940,1,2,1, 16.3863, 0.0126851, 16.3116, 0, 0, 178, 179, 16.310570955276489, 0.055354833602905273, 0.0095620155334472656, 0.0036790370941162109, 0.0049390792846679688, 0, 0.0083329677581787109, 16.228703022003174, 1012.266115699429, 1012.1589580234779, 0.10715767595395316, 178, 179, 16.3106, 9.97733, 1.73971, 0.663693, 2.43287, 6.12736e-05, 1.49329, 0.00362515, 
8,2,100000,3.96216e+06,1,2,1, 63.0255, 0.0122399, 62.6496, 0, 0, 571, 572, 62.461774826049805, 0.072527885437011719, 0.010376930236816406, 0.0038809776306152344, 0.0050389766693115234, 0, 0.0085279941558837891, 62.361422061920166, 1012.1032233207162, 1011.9616790734676, 0.14154424724067, 571, 572, 62.4618, 41.4538, 5.91284, 2.23697, 7.89938, 0.000286102, 4.94558, 0.0129275, 
11,2,100000,5.47264e+06,1,2,1, 45.372, 0.012491, 44.9273, 0, 0, 406, 407, 44.647209882736206, 0.072157859802246094, 0.010568857192993164, 0.0038881301879882812, 0.0049390792846679688, 0, 0.008563995361328125, 44.547091960906982, 1012.14348723193, 1012.0291869080143, 0.11430032391405746, 406, 407, 44.6472, 29.6562, 4.29262, 1.57527, 5.60759, 0.000137091, 3.50283, 0.0125408, 
7,2,100000,3.4878e+06,1,2,1, 42.6139, 0.0126071, 42.3598, 0, 0, 385, 386, 42.09978199005127, 0.072245121002197266, 0.0099568367004394531, 0.0039219856262207031, 0.0049450397491455078, 0, 0.0085289478302001953, 42.000184059143066, 1012.1604087577064, 1012.0536925521485, 0.10671620550544886, 385, 386, 42.0998, 27.9807, 3.98591, 1.51161, 5.30911, 0.000162125, 3.29649, 0.0157712, 
