?ncpus,K,epssqr,abserr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
12,2,100000,4.87797e+06,1,2,1, 91.7377, 0.000990868, 19.6581, 0, 0, 827, 828, 12.164485931396484, 0.0054819583892822266, 0.0032219886779785156, 0.00067996978759765625, 0.0011892318725585938, 0, 0.0022289752960205078, 12.151683807373047, 999.88824168260089, 999.76274991460764, 0.1254917679932766, 827, 828, 12.1645, 4.55543, 2.38749, 0.566782, 2.71635, 0.000414133, 1.89784, 0.040174, 
2,2,100000,4.82938e+06,1,2,1, 87.4789, 0.00545788, 85.9278, 0, 0, 920, 921, 84.929383993148804, 0.032468080520629883, 0.013633012771606445, 0.0046448707580566406, 0.0083279609680175781, 0, 0.015546083450317383, 84.854763984680176, 999.82473805447626, 999.67321562123061, 0.15152243324595854, 920, 921, 84.9294, 29.9814, 12.6084, 4.28288, 23.6783, 0.000422239, 14.3231, 0.0548403, 
4,2,100000,4.86394e+06,1,2,1, 61.7494, 0.00278211, 58.0565, 0, 0, 1193, 1194, 56.393514156341553, 0.01621699333190918, 0.0069510936737060547, 0.0026469230651855469, 0.0041279792785644531, 0, 0.0080800056457519531, 56.355491161346436, 999.86948714830669, 999.73799204815691, 0.13149510014991939, 1193, 1194, 56.3935, 19.4463, 8.4219, 3.16869, 15.6041, 0.000586033, 9.71, 0.0419757, 
11,2,100000,4.80047e+06,1,2,1, 56.8925, 0.00106692, 23.7496, 0, 0, 1284, 1285, 20.53351616859436, 0.0059289932250976562, 0.0028479099273681641, 0.00080108642578125, 0.0013489723205566406, 0, 0.0025689601898193359, 20.520020246505737, 999.7912463756893, 999.62615719742735, 0.16508917826208769, 1284, 1285, 20.5335, 7.68137, 3.80884, 1.0401, 4.70364, 0.000641584, 3.25626, 0.0426736, 
1,2,100000,4.86827e+06,1,2,1, 132.421, 0.0110121, 132.264, 0, 0, 743, 744, 132.2544469833374, 0.060098171234130859, 0.026960134506225586, 0.0084979534149169922, 0.016804933547973633, 0, 0.030363082885742188, 132.11172270774841, 999.8736622340997, 999.73994407234159, 0.13371816175711981, 743, 744, 132.254, 45.3334, 20.1796, 6.33919, 38.0021, 0.000396967, 22.3813, 0.0184698, 
7,2,100000,4.6854e+06,1,2,1, 36.1985, 0.00161195, 28.3206, 0, 0, 967, 968, 25.353085041046143, 0.0092899799346923828, 0.0042059421539306641, 0.0015549659729003906, 0.0021190643310546875, 0, 0.0045638084411621094, 25.331351280212402, 999.68513268305753, 999.39547247370047, 0.28966020935706582, 967, 968, 25.3531, 9.02978, 4.08602, 1.49684, 6.27869, 0.000432491, 4.43824, 0.0230856, 
5,2,100000,4.67419e+06,1,2,1, 44.4311, 0.00214005, 39.9927, 0, 0, 1010, 1011, 38.738639116287231, 0.01297307014465332, 0.0057327747344970703, 0.0022990703582763672, 0.0031499862670898438, 0, 0.0067617893218994141, 38.707722425460815, 999.67426615130091, 999.38102126356466, 0.29324488773605528, 1010, 1011, 38.7386, 13.1759, 5.81919, 2.33077, 10.5515, 0.000497818, 6.84362, 0.0171583, 
9,2,100000,4.66588e+06,1,2,1, 40.1293, 0.00128889, 26.5504, 0, 0, 1144, 1145, 22.77466082572937, 0.0072641372680664062, 0.0034019947052001953, 0.0011248588562011719, 0.0016999244689941406, 0, 0.0032451152801513672, 22.757924795150757, 999.66357267698868, 999.37856365073458, 0.28500902625399149, 1144, 1145, 22.7747, 8.35644, 3.97211, 1.30299, 5.24219, 0.000594854, 3.86187, 0.0384684, 
3,2,100000,4.52908e+06,1,2,1, 100.267, 0.00367379, 97.2233, 0, 0, 1543, 1544, 96.212171792984009, 0.021646976470947266, 0.0091958045959472656, 0.0033152103424072266, 0.0056400299072265625, 0, 0.010527849197387695, 96.161845922470093, 999.56157288655925, 999.17764675280159, 0.38392613375751594, 1543, 1544, 96.2122, 33.4888, 14.242, 5.11084, 26.9999, 0.000698328, 16.324, 0.0459518, 
10,2,100000,4.84104e+06,1,2,1, 25.8538, 0.00119877, 14.1725, 0, 0, 556, 557, 9.8069000244140625, 0.0065510272979736328, 0.0035448074340820312, 0.00091695785522460938, 0.00145721435546875, 1.1920928955078125e-06, 0.0028657913208007812, 9.7915630340576172, 999.83712161156609, 999.67905134788475, 0.15807026368137428, 556, 557, 9.8069, 3.66287, 1.78275, 0.516055, 2.19525, 0.00027132, 1.61921, 0.0305047, 
6,2,100000,4.86452e+06,1,2,1, 33.2954, 0.00185394, 25.883, 0, 0, 784, 785, 24.316066026687622, 0.010835886001586914, 0.0047161579132080078, 0.0018169879913330078, 0.0024998188018798828, 0, 0.0053560733795166016, 24.290841102600098, 999.86945329495825, 999.73650659605323, 0.13294669890477528, 784, 785, 24.3161, 8.54327, 3.77247, 1.44162, 6.26321, 0.000365019, 4.26285, 0.0322857, 
8,2,100000,4.82354e+06,1,2,1, 31.093, 0.00141096, 22.611, 0, 0, 786, 787, 17.827429056167603, 0.0081400871276855469, 0.0037670135498046875, 0.0012850761413574219, 0.0018229484558105469, 0, 0.0038449764251708984, 17.808568954467773, 999.81679507455328, 999.65855952041522, 0.15823555413798496, 786, 787, 17.8274, 6.4383, 3.00702, 1.03077, 4.23666, 0.000434399, 3.08618, 0.0280597, 
