?ncpus,K,epssqr,abserr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
9,2,100000,4.46181e+06,1,2,1, 190.101, 0.00113487, 12.8504, 0, 0, 417, 418, 7.4738938808441162, 0.0065548419952392578, 0.0031769275665283203, 0.00092911720275878906, 0.0014679431915283203, 0, 0.0030241012573242188, 7.4587409496307373, 1012.1104872545211, 1011.9761253612695, 0.13436189325289688, 417, 418, 7.47389, 2.76387, 1.36969, 0.388148, 1.69351, 0.000229597, 1.22074, 0.0377111, 
10,2,100000,4.88075e+06,1,2,1, 35.1389, 0.00110388, 26.3575, 0, 0, 897, 898, 15.817739963531494, 0.0065588951110839844, 0.0030128955841064453, 0.00090694427490234375, 0.0014510154724121094, 0, 0.0028560161590576172, 15.802954196929932, 1012.0188577894399, 1011.7836383151962, 0.23521947424230383, 897, 898, 15.8177, 5.93352, 2.82556, 0.827587, 3.61404, 0.000412703, 2.59118, 0.0254412, 
12,2,100000,5.96215e+06,1,2,1, 31.9274, 0.00119996, 17.9615, 0, 0, 524, 525, 9.3781731128692627, 0.0065641403198242188, 0.0030779838562011719, 0.00093197822570800781, 0.0014660358428955078, 0, 0.0029079914093017578, 9.363224983215332, 1012.1289263227396, 1012.013510086106, 0.11541623663466107, 524, 525, 9.37817, 3.46185, 1.68268, 0.491235, 2.14498, 0.000222445, 1.58175, 0.0154583, 
5,2,100000,2.49784e+06,1,2,1, 15.4281, 0.00116587, 10.0604, 0, 0, 420, 421, 7.3877911567687988, 0.0065670013427734375, 0.0030119419097900391, 0.000885009765625, 0.001461029052734375, 9.5367431640625e-07, 0.0028131008148193359, 7.3730521202087402, 1012.1996642585352, 1012.1033283115573, 0.096335946975678904, 420, 421, 7.38779, 2.77501, 1.32297, 0.381409, 1.67035, 0.000208616, 1.20339, 0.0344639, 
4,2,100000,1.99742e+06,1,2,1, 12.4152, 0.00113988, 8.0819, 0, 0, 258, 259, 4.6305649280548096, 0.0065410137176513672, 0.0029199123382568359, 0.00088906288146972656, 0.0014889240264892578, 0, 0.0027670860290527344, 4.6159589290618896, 1012.1908014963241, 1012.0922677196982, 0.098533776626105282, 258, 259, 4.63056, 1.71633, 0.85849, 0.241535, 1.02889, 0.000144243, 0.742169, 0.0430074, 
3,2,100000,1.50114e+06,1,2,1, 8.00887, 0.00119305, 5.61437, 0, 0, 232, 233, 4.1255760192871094, 0.0065519809722900391, 0.0028848648071289062, 0.00090003013610839844, 0.001461029052734375, 0, 0.0028090476989746094, 4.110969066619873, 1012.2342193308295, 1012.1354337239615, 0.098785606866844788, 232, 233, 4.12558, 1.53984, 0.749529, 0.218156, 0.919955, 0.000110388, 0.664747, 0.0332375, 
1,2,100000,500772,1,2,1, 3.65485, 0.00119901, 3.636, 0, 0, 224, 225, 3.6290519237518311, 0.00609588623046875, 0.0026509761810302734, 0.00083613395690917969, 0.0014550685882568359, 0, 0.0026500225067138672, 3.6153638362884521, 1012.2548932238839, 1012.1513180245325, 0.1035751993503423, 224, 225, 3.62905, 1.3744, 0.596234, 0.188253, 0.86242, 0.00014472, 0.60524, 0.00236201, 
6,2,100000,2.97699e+06,1,2,1, 16.918, 0.00118017, 9.58262, 0, 0, 389, 390, 6.9083209037780762, 0.0065538883209228516, 0.0030581951141357422, 0.00090789794921875, 0.0014519691467285156, 0, 0.0029330253601074219, 6.8934159278869629, 1012.1157448838375, 1011.9920036097132, 0.12374127412555969, 389, 390, 6.90832, 2.57453, 1.22923, 0.354153, 1.5611, 0.000193357, 1.15825, 0.0308666, 
11,2,100000,5.46907e+06,1,2,1, 28.0576, 0.00118589, 11.1844, 0, 0, 510, 511, 9.0869548320770264, 0.0065629482269287109, 0.0030341148376464844, 0.00092983245849609375, 0.0014998912811279297, 0, 0.0028641223907470703, 9.0720639228820801, 1012.136214741148, 1012.0214963047952, 0.11471843635312712, 510, 511, 9.08695, 3.37873, 1.62207, 0.486173, 2.08024, 0.000283241, 1.47827, 0.041178, 
2,2,100000,999566,1,2,1, 7.8521, 0.00108504, 6.11212, 0, 0, 272, 273, 4.774871826171875, 0.0065610408782958984, 0.0031409263610839844, 0.00087499618530273438, 0.0014729499816894531, 0, 0.0027439594268798828, 4.760077953338623, 1012.2060170621558, 1012.1087677279002, 0.097249334253863062, 272, 273, 4.77487, 1.80104, 0.839802, 0.245167, 1.06864, 0.000144005, 0.769323, 0.0507507, 
