?ngpus,K,epssqr,abserr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
5,2,100000,4.88273e+06,1,2,1, 16.05, 0.0276899, 15.7944, 0, 0, 610, 611, 15.6925368309021, 0.0035889148712158203, 0.0067000389099121094, 0.0042009353637695312, 1.6927719116210938e-05, 0, 0.0072069168090820312, 15.670823097229004, 999.89261675362411, 999.75992837833383, 0.13268837529031818, 610, 611, 15.6925, 2.20365, 4.11352, 2.5818, 2.356, 0.000275612, 4.4297, 0.00758529, 
4,2,100000,4.84997e+06,1,2,1, 29.1474, 0.0447061, 28.9227, 0, 0, 923, 924, 28.729263067245483, 0.0044279098510742188, 0.0079329013824462891, 0.0051541328430175781, 2.002716064453125e-05, 0, 0.0088000297546386719, 28.702928066253662, 999.85089536734245, 999.71177839999041, 0.13911696735197676, 923, 924, 28.7293, 4.08648, 7.38353, 4.79462, 4.28296, 0.000406981, 8.16965, 0.0116057, 
7,2,100000,4.82394e+06,1,2,1, 16.3102, 0.0195861, 16.0813, 0, 0, 823, 824, 15.877533197402954, 0.0025851726531982422, 0.0049149990081787109, 0.0032429695129394531, 1.5974044799804688e-05, 0, 0.0054450035095214844, 15.861329078674316, 999.81822236434937, 999.66526713877079, 0.1529552255786274, 823, 824, 15.8775, 2.14952, 4.07975, 2.6874, 2.42752, 0.000307798, 4.5272, 0.00583243, 
12,2,100000,4.86633e+06,1,2,1, 14.1178, 0.0121012, 13.6954, 0, 0, 1044, 1045, 13.390193939208984, 0.0015730857849121094, 0.0030319690704345703, 0.00226593017578125, 1.6927719116210938e-05, 0, 0.0037369728088378906, 13.379569053649902, 999.87204651359275, 999.74021077288342, 0.13183574070937992, 1044, 1045, 13.3902, 1.64054, 3.20559, 2.37242, 2.20457, 0.000267982, 3.96294, 0.00386953, 
9,2,100000,4.8502e+06,1,2,1, 8.66256, 0.0151999, 8.2606, 0, 0, 512, 513, 8.1218888759613037, 0.0020349025726318359, 0.0039620399475097656, 0.0026519298553466797, 1.5974044799804688e-05, 9.5367431640625e-07, 0.0045399665832519531, 8.1086831092834473, 999.84891038116427, 999.70386685343715, 0.14504352772718893, 512, 513, 8.12189, 1.05457, 2.04719, 1.37984, 1.2771, 0.000178814, 2.35837, 0.00463438, 
3,2,100000,4.5298e+06,1,2,1, 61.2647, 0.0615361, 61.009, 0, 0, 1511, 1512, 60.931390047073364, 0.005886077880859375, 0.010345935821533203, 0.0065491199493408203, 2.288818359375e-05, 0, 0.011469125747680664, 60.897116899490356, 999.56285202705124, 999.17650600433694, 0.38634602271446927, 1511, 1512, 60.9314, 8.85529, 15.6931, 9.93034, 9.03182, 0.000809669, 17.4057, 0.014426, 
8,2,100000,4.61657e+06,1,2,1, 17.8509, 0.017328, 17.5655, 0, 0, 996, 997, 17.333542108535767, 0.002288818359375, 0.004383087158203125, 0.0029239654541015625, 1.5974044799804688e-05, 0, 0.0049681663513183594, 17.318962097167969, 999.62545394656092, 999.30080458967632, 0.32464935688478153, 996, 997, 17.3335, 2.31701, 4.40446, 2.94458, 2.68487, 0.000325203, 4.97676, 0.00553322, 
6,2,100000,4.86442e+06,1,2,1, 19.1788, 0.0223708, 18.8833, 0, 0, 857, 858, 18.766021966934204, 0.0029969215393066406, 0.0057060718536376953, 0.0036499500274658203, 1.811981201171875e-05, 0, 0.0061800479888916016, 18.747470855712891, 999.86964733067066, 999.73738853729026, 0.13225879338039148, 857, 858, 18.766, 2.58791, 4.85592, 3.14987, 2.85525, 0.000325918, 5.30951, 0.00724697, 
2,2,100000,4.86509e+06,1,2,1, 52.7439, 0.091892, 52.4656, 0, 0, 1008, 1009, 52.427288055419922, 0.0086400508880615234, 0.0084979534149169922, 0.0093300342559814453, 2.47955322265625e-05, 0, 0.016865015029907227, 52.383930206298828, 999.87077999377789, 999.7393297041142, 0.13145028966378342, 1008, 1009, 52.4273, 8.72493, 8.6288, 9.4177, 8.58471, 0.000496626, 17.0515, 0.019165, 
10,2,100000,4.88417e+06,1,2,1, 9.19365, 0.0141091, 8.81968, 0, 0, 586, 587, 8.5533080101013184, 0.0017940998077392578, 0.0035610198974609375, 0.0025398731231689453, 1.5974044799804688e-05, 0, 0.0042529106140136719, 8.5411441326141357, 999.89547024665774, 999.76952473451865, 0.12594551213907365, 586, 587, 8.55331, 1.09923, 2.11067, 1.47874, 1.36193, 0.000192404, 2.49845, 0.00409985, 
