?ngpus,K,epssqr,abserr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
6,2,100000,2.99253e+06,1,2,1, 7.52392, 0.014071, 7.26619, 0, 0, 487, 488, 7.0865709781646729, 0.0018420219421386719, 0.0035722255706787109, 0.0024659633636474609, 1.5974044799804688e-05, 0, 0.0042140483856201172, 7.0744607448577881, 1012.1736927847894, 1012.0738894271526, 0.09980335763674486, 487, 488, 7.08657, 0.903421, 1.75568, 1.22686, 1.12609, 0.000172615, 2.07047, 0.00387669, 
4,2,100000,1.99803e+06,1,2,1, 4.3837, 0.0136271, 4.17543, 0, 0, 275, 276, 3.940040111541748, 0.0018389225006103516, 0.0033888816833496094, 0.0024580955505371094, 1.6927719116210938e-05, 0, 0.0040981769561767578, 3.928239107131958, 1012.1964001713108, 1012.0993074452855, 0.097092726025092141, 275, 276, 3.94004, 0.514909, 0.94497, 0.687339, 0.645007, 0.000104666, 1.14385, 0.003865, 
12,2,100000,5.96676e+06,1,2,1, 8.00274, 0.0135372, 7.5843, 0, 0, 497, 498, 7.2783730030059814, 0.0018630027770996094, 0.0035679340362548828, 0.0025248527526855469, 1.5020370483398438e-05, 0, 0.0042569637298583984, 7.2661452293395996, 1012.1368434885052, 1012.0237353508855, 0.11310813761948119, 497, 498, 7.27837, 0.938721, 1.79932, 1.26862, 1.15111, 0.000157118, 2.11601, 0.00442982, 
10,2,100000,4.97266e+06,1,2,1, 10.616, 0.014147, 10.0076, 0, 0, 672, 673, 9.8068208694458008, 0.0018308162689208984, 0.0036170482635498047, 0.0025770664215087891, 1.5020370483398438e-05, 0, 0.0042040348052978516, 9.79457688331604, 1012.1377219158826, 1012.0262654583067, 0.11145645757578299, 672, 673, 9.80682, 1.26446, 2.42639, 1.69502, 1.5555, 0.000224829, 2.86111, 0.00411201, 
11,2,100000,5.46138e+06,1,2,1, 10.7461, 0.014118, 10.4007, 0, 0, 695, 696, 10.095731973648071, 0.0018329620361328125, 0.0035572052001953125, 0.0024800300598144531, 1.5974044799804688e-05, 0, 0.0041689872741699219, 10.083676815032959, 1012.1221947968471, 1012.004881782198, 0.11731301464921906, 695, 696, 10.0957, 1.295, 2.49522, 1.75651, 1.60635, 0.000271559, 2.93835, 0.00404143, 
5,2,100000,2.49659e+06,1,2,1, 4.85958, 0.0140378, 4.64466, 0, 0, 312, 313, 4.5140030384063721, 0.00185394287109375, 0.0034630298614501953, 0.0024700164794921875, 1.5020370483398438e-05, 0, 0.0041351318359375, 4.502065896987915, 1012.1897105017811, 1012.088767485149, 0.1009430166318367, 312, 313, 4.514, 0.587473, 1.09721, 0.78715, 0.725218, 8.51154e-05, 1.31323, 0.00363183, 
7,2,100000,3.49028e+06,1,2,1, 5.57647, 0.013628, 5.28075, 0, 0, 356, 357, 5.093505859375, 0.0018699169158935547, 0.0034191608428955078, 0.0024468898773193359, 1.5974044799804688e-05, 0, 0.0040700435638427734, 5.081683874130249, 1012.1699050484284, 1012.0626765622202, 0.10722848620811593, 356, 357, 5.09351, 0.662909, 1.23022, 0.895182, 0.826922, 0.000136375, 1.47403, 0.00411081, 
8,2,100000,3.97966e+06,1,2,1, 9.90823, 0.0139611, 9.56632, 0, 0, 645, 646, 9.400230884552002, 0.0018601417541503906, 0.0036141872406005859, 0.0025160312652587891, 1.5974044799804688e-05, 0, 0.0041899681091308594, 9.3880345821380615, 1012.1418614174648, 1012.0314178904744, 0.11044352699043064, 645, 646, 9.40023, 1.20957, 2.32338, 1.6289, 1.49651, 0.000203133, 2.73757, 0.00409031, 
3,2,100000,1.49954e+06,1,2,1, 4.26456, 0.013994, 4.12513, 0, 0, 287, 288, 4.0864570140838623, 0.0018279552459716797, 0.0034670829772949219, 0.0024738311767578125, 1.5974044799804688e-05, 0, 0.0040218830108642578, 4.0746502876281738, 1012.2098911672161, 1012.1135755282593, 0.096315638956759708, 287, 288, 4.08646, 0.529244, 0.994909, 0.710375, 0.668722, 0.000105381, 1.17949, 0.00360608, 
1,2,100000,500697,1,2,1, 2.85183, 0.0140591, 2.80455, 0, 0, 224, 225, 2.8036119937896729, 0.0018320083618164062, 0.0017640590667724609, 0.0024461746215820312, 1.5020370483398438e-05, 0, 0.0040268898010253906, 2.7935278415679932, 1012.2502468568739, 1012.147956363656, 0.10229049321780978, 224, 225, 2.80361, 0.410527, 0.40543, 0.549145, 0.523114, 8.89301e-05, 0.911808, 0.00349855, 
9,2,100000,4.48562e+06,1,2,1, 8.25749, 0.0137999, 7.9216, 0, 0, 534, 535, 7.8308248519897461, 0.0018439292907714844, 0.0035638809204101562, 0.00251007080078125, 1.6927719116210938e-05, 0, 0.0041949748992919922, 7.818695068359375, 1012.1642073057764, 1012.0620745687983, 0.1021327369780706, 534, 535, 7.83082, 1.0078, 1.93864, 1.34953, 1.24581, 0.000164032, 2.28466, 0.00422263, 
2,2,100000,999632,1,2,1, 2.95774, 0.014323, 2.89429, 0, 0, 226, 227, 2.8441710472106934, 0.0017819404602050781, 0.0018198490142822266, 0.0024220943450927734, 1.5020370483398438e-05, 0, 0.0039830207824707031, 2.8341491222381592, 1012.2070638002722, 1012.1095378235974, 0.097525976674846873, 226, 227, 2.84417, 0.412062, 0.423043, 0.55474, 0.527234, 8.79765e-05, 0.923543, 0.00346065,
