?spgqp_err,K,epssqr,abserr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
1e-6,2,1,4.93266e+06,1,2,1, 1.02441, 0.0144501, 0.571736, 0, 0, 23, 24, 0.40069389343261719, 0.0022270679473876953, 0.0036070346832275391, 0.0025489330291748047, 1.5974044799804688e-05, 0, 0.0042788982391357422, 0.3880159854888916, 975.91478284748234, 974.99593537043415, 0.91884747704803016, 23, 24, 0.400694, 0.0504193, 0.0969155, 0.0669408, 0.0698166, 1.97887e-05, 0.114279, 0.00230336, 
1e-6,2,2,4.93266e+06,1,2,2, 1.64411, 0.0286191, 0.884303, 0, 0, 1, 2, 0.026875019073486328, 0.0019319057464599609, 0.0036101341247558594, 0.0027029514312744141, 1.6927719116210938e-05, 0, 0.0042459964752197266, 0.014367103576660156, 976.83363019892522, 974.99593555853994, 1.8376946403854131, 24, 26, 0.427569, 0.0542634, 0.104046, 0.0696437, 0.0721166, 1.97887e-05, 0.12288, 0.00460029, 
1e-6,2,3,4.92675e+06,1,2,3, 2.69112, 0.0427251, 1.64392, 0, 0, 28, 29, 0.4357140064239502, 0.0019140243530273438, 0.0036618709564208984, 0.0025339126586914062, 1.5974044799804688e-05, 0, 0.0041930675506591797, 0.42339515686035156, 977.60237814809204, 975.28484248245604, 2.3175356656359982, 52, 55, 0.863283, 0.115068, 0.210459, 0.141545, 0.139835, 3.21865e-05, 0.249487, 0.0068562, 
1e-6,2,4,4.92675e+06,1,2,4, 3.46085, 0.0569103, 2.0257, 0, 0, 1, 2, 0.026885032653808594, 0.0019891262054443359, 0.0035829544067382812, 0.0025370121002197266, 1.5974044799804688e-05, 0, 0.0042541027069091797, 0.014505863189697266, 978.37488982262494, 975.28484322768327, 3.0900465949416782, 53, 57, 0.890168, 0.118995, 0.217611, 0.144082, 0.142134, 3.31402e-05, 0.258102, 0.00921011, 
1e-6,2,5,4.92112e+06,1,2,5, 4.96598, 0.0713594, 2.94998, 0, 0, 39, 40, 0.60396790504455566, 0.0019478797912597656, 0.005123138427734375, 0.0029098987579345703, 1.5974044799804688e-05, 0, 0.0062580108642578125, 0.58771300315856934, 979.02028289419616, 975.77449627821295, 3.245786615983155, 92, 97, 1.49414, 0.198853, 0.36821, 0.244426, 0.235751, 4.60148e-05, 0.43565, 0.0112004, 
1e-6,2,6,4.92112e+06,1,2,6, 5.50743, 0.0855274, 3.1592, 0, 0, 1, 2, 0.028051137924194336, 0.0020132064819335938, 0.0046129226684570312, 0.0025899410247802734, 1.6927719116210938e-05, 0, 0.0042660236358642578, 0.014552116394042969, 979.66943995140377, 975.77449773087926, 3.8949422205244941, 93, 99, 1.52219, 0.202887, 0.376348, 0.247015, 0.238058, 4.72069e-05, 0.444326, 0.0135047, 
1e-6,2,7,4.91552e+06,1,2,7, 6.6665, 0.100124, 4.02641, 0, 0, 41, 42, 0.66500186920166016, 0.0018820762634277344, 0.0036129951477050781, 0.0025439262390136719, 1.5974044799804688e-05, 0, 0.0042250156402587891, 0.65272188186645508, 980.21342258561742, 976.38165850347741, 3.831764082139947, 134, 141, 2.18719, 0.292902, 0.544584, 0.356579, 0.339488, 6.03199e-05, 0.638052, 0.0155239, 
1e-6,2,8,4.91552e+06,1,2,8, 7.35152, 0.114289, 4.2054, 0, 0, 1, 2, 0.026906967163085938, 0.0020399093627929688, 0.0036129951477050781, 0.0025310516357421875, 1.6927719116210938e-05, 0, 0.0042750835418701172, 0.014430999755859375, 980.76081716605881, 976.38166064863901, 4.3791565174198332, 135, 143, 2.2141, 0.296884, 0.551714, 0.35911, 0.341792, 6.12736e-05, 0.646687, 0.0178478, 
1e-6,2,9,4.91028e+06,1,2,9, 8.67029, 0.128498, 5.20222, 0, 0, 47, 48, 0.71211409568786621, 0.0019028186798095703, 0.003643035888671875, 0.0025579929351806641, 1.71661376953125e-05, 0, 0.0043129920959472656, 0.69968008995056152, 981.2225143397269, 977.04102826100336, 4.1814860787235926, 182, 191, 2.92621, 0.390914, 0.729006, 0.480362, 0.45394, 7.9155e-05, 0.85187, 0.0200391, 
1e-6,2,10,4.91028e+06,1,2,10, 9.27855, 0.142862, 5.42215, 0, 0, 1, 2, 0.026779890060424805, 0.0020091533660888672, 0.0035939216613769531, 0.0025429725646972656, 1.7881393432617188e-05, 0, 0.0042519569396972656, 0.014364004135131836, 981.68712361393386, 977.04103099153326, 4.6460926224007357, 183, 193, 2.95299, 0.39489, 0.736243, 0.482905, 0.456247, 7.9155e-05, 0.86055, 0.0220749, 
