?spgqp_err,K,epssqr,abserr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
1e-6,2,1,4.7958e+06,1,2,1, 0.820396, 0.221661, 0.315002, 0, 0, 17, 18, 0.083428144454956055, 0.00026297569274902344, 0.00093793869018554688, 0.00021409988403320312, 0.00024104118347167969, 0, 0.00073695182800292969, 0.081035137176513672, 992.30174732612704, 992.20456694131053, 0.097180384815912096, 17, 18, 0.0834281, 0.00707817, 0.0207605, 0.00406504, 0.0245531, 1.00136e-05, 0.0174391, 0.0095222, 
1e-6,2,2,4.79223e+06,1,2,2, 1.55551, 0.433498, 0.544845, 0, 0, 16, 17, 0.060165882110595703, 0.00026607513427734375, 0.00077891349792480469, 0.0002651214599609375, 0.00024700164794921875, 0, 0.00085902214050292969, 0.057749748229980469, 992.39762880244848, 992.20843859827369, 0.189190204174601, 33, 35, 0.143594, 0.0119684, 0.0341649, 0.00808477, 0.0467844, 1.28746e-05, 0.0314469, 0.0111318, 
1e-6,2,3,4.7889e+06,1,2,3, 2.32225, 0.724915, 0.723753, 0, 0, 16, 17, 0.059374809265136719, 0.00027298927307128906, 0.00078701972961425781, 0.00023603439331054688, 0.0002269744873046875, 0, 0.00075197219848632812, 0.057099819183349609, 992.49095224083862, 992.2147715185331, 0.27618072230549051, 49, 52, 0.202969, 0.0169318, 0.0476034, 0.0118709, 0.0686245, 1.88351e-05, 0.0451376, 0.0127819, 
1e-6,2,4,4.78587e+06,1,2,4, 5.8457, 3.81126, 0.931884, 0, 0, 21, 22, 0.077098846435546875, 0.00026488304138183594, 0.00078701972961425781, 0.00024199485778808594, 0.00023388862609863281, 0, 0.00075507164001464844, 0.074815988540649414, 992.5817694464555, 992.22345462736416, 0.3583148190909346, 70, 74, 0.280068, 0.0232146, 0.0651641, 0.0170357, 0.0975232, 2.28882e-05, 0.062762, 0.0143452, 
1e-6,2,5,4.78297e+06,1,2,5, 6.88804, 4.04092, 1.19039, 0, 0, 22, 23, 0.082994937896728516, 0.00026702880859375, 0.00079703330993652344, 0.00023102760314941406, 0.00022792816162109375, 0, 0.00083708763122558594, 0.080634832382202148, 992.67012094624909, 992.23444554782782, 0.43567539842102748, 92, 97, 0.363063, 0.0302672, 0.0846765, 0.0223901, 0.127482, 2.57492e-05, 0.0820897, 0.0161312, 
1e-6,2,6,4.7802e+06,1,2,6, 7.69806, 4.24986, 1.52504, 0, 0, 22, 23, 0.089524984359741211, 0.0011358261108398438, 0.0012290477752685547, 0.00044798851013183594, 0.00023913383483886719, 0, 0.0012538433074951172, 0.085219144821166992, 992.75605922413092, 992.2475380867445, 0.50852113738588978, 114, 120, 0.452588, 0.0384903, 0.104893, 0.0282316, 0.159157, 3.38554e-05, 0.104045, 0.0177362, 
1e-6,2,7,4.77735e+06,1,2,7, 8.49859, 4.47918, 1.83883, 0, 0, 22, 23, 0.081374883651733398, 0.0002651214599609375, 0.00082421302795410156, 0.00024580955505371094, 0.00023984909057617188, 9.5367431640625e-07, 0.00073599815368652344, 0.079062938690185547, 992.83965103470985, 992.26256032214553, 0.57709071256415867, 136, 143, 0.533962, 0.0449724, 0.124385, 0.0336251, 0.188662, 4.19617e-05, 0.122843, 0.0194337, 
1e-6,2,8,4.77436e+06,1,2,8, 9.52575, 4.68882, 2.34702, 0, 0, 28, 29, 0.10589504241943359, 0.00031280517578125, 0.00084900856018066406, 0.00027704238891601562, 0.00024509429931640625, 0, 0.00072503089904785156, 0.10348606109619141, 992.92096463598193, 992.27939047613768, 0.64157415984365773, 164, 172, 0.639858, 0.0539339, 0.149255, 0.040926, 0.227756, 4.673e-05, 0.146924, 0.0210171, 
1e-6,2,9,4.77142e+06,1,2,9, 10.3427, 5.00934, 2.59664, 0, 0, 34, 35, 0.12755489349365234, 0.00030493736267089844, 0.00077891349792480469, 0.00023198127746582031, 0.0002269744873046875, 0, 0.00076699256896972656, 0.12524509429931641, 993.00006572680081, 992.29793722852446, 0.70212849827718071, 198, 207, 0.767412, 0.0646784, 0.178758, 0.0491683, 0.27509, 5.24521e-05, 0.176928, 0.0227375, 
1e-6,2,10,4.76843e+06,1,2,10, 11.2221, 5.21691, 2.99348, 0, 0, 27, 28, 0.10396289825439453, 0.00029683113098144531, 0.00078511238098144531, 0.00023889541625976562, 0.00022602081298828125, 9.5367431640625e-07, 0.00072908401489257812, 0.10168600082397461, 993.07700888876775, 992.31818174161094, 0.75882714715594712, 225, 235, 0.871375, 0.0737715, 0.202501, 0.0563595, 0.312713, 6.03199e-05, 0.201613, 0.0243573, 
1e-6,2,20,4.73886e+06,1,2,11, 12.0354, 5.45514, 3.31385, 0, 0, 39, 40, 0.14652299880981445, 0.00030183792114257812, 0.0007839202880859375, 0.00023317337036132812, 0.00023007392883300781, 0, 0.00073099136352539062, 0.14424300193786621, 993.74075814387402, 992.58551102980232, 1.1552471140715981, 264, 275, 1.0179, 0.085515, 0.237097, 0.0661545, 0.368385, 6.62804e-05, 0.234642, 0.0260389, 
1e-6,2,30,4.71335e+06,1,2,12, 12.8275, 5.66439, 3.65999, 0, 0, 40, 41, 0.1521298885345459, 0.00026392936706542969, 0.00079107284545898438, 0.00023198127746582031, 0.00023102760314941406, 0, 0.00073695182800292969, 0.14987492561340332, 994.24870046968954, 992.91210068667306, 1.3365997830161804, 304, 316, 1.17003, 0.0985618, 0.272647, 0.0765324, 0.425815, 7.70092e-05, 0.268766, 0.0276289, 
1e-6,2,40,4.69091e+06,1,2,13, 13.6726, 5.88039, 4.09623, 0, 0, 44, 45, 0.16129183769226074, 0.00039386749267578125, 0.000843048095703125, 0.00023603439331054688, 0.0002269744873046875, 0, 0.00076889991760253906, 0.15882301330566406, 994.64427618097261, 993.2406004139691, 1.4036757670032551, 348, 361, 1.33132, 0.112425, 0.310649, 0.08722, 0.486016, 8.84533e-05, 0.305676, 0.0292459, 
1e-6,2,50,4.67085e+06,1,2,14, 14.6559, 6.10541, 4.56414, 0, 0, 55, 56, 0.19394397735595703, 0.00026702880859375, 0.00079798698425292969, 0.00024008750915527344, 0.00023293495178222656, 0, 0.0007228851318359375, 0.19168305397033691, 994.95936083059621, 993.54492561594316, 1.4144352146536288, 403, 417, 1.52526, 0.128505, 0.355539, 0.100735, 0.560303, 0.000104189, 0.349274, 0.0308044, 
1e-6,2,60,4.65306e+06,1,2,15, 15.5308, 6.38724, 4.85818, 0, 0, 58, 59, 0.20524716377258301, 0.00028491020202636719, 0.000782012939453125, 0.00022482872009277344, 0.00022721290588378906, 1.1920928955078125e-06, 0.00073981285095214844, 0.2029871940612793, 995.21618218828348, 993.81653633334281, 1.399645854939894, 461, 476, 1.73051, 0.144413, 0.403417, 0.114395, 0.638973, 0.000117302, 0.396992, 0.0322049, 
1e-6,2,70,4.63676e+06,1,2,16, 16.5557, 6.64963, 5.35809, 0, 0, 68, 69, 0.24101805686950684, 0.0002651214599609375, 0.00078797340393066406, 0.00028491020202636719, 0.00022602081298828125, 0, 0.00082302093505859375, 0.23863101005554199, 995.43010840403213, 994.05585875491977, 1.3742496491122085, 529, 545, 1.97153, 0.164017, 0.459762, 0.130721, 0.731151, 0.000133514, 0.451843, 0.0339017, 
1e-6,2,80,4.62203e+06,1,2,17, 17.5223, 6.85858, 5.84256, 0, 0, 71, 72, 0.25206995010375977, 0.00026416778564453125, 0.00083208084106445312, 0.0002498626708984375, 0.0002460479736328125, 0, 0.00074005126953125, 0.24973773956298828, 995.61175658414379, 994.26621107774019, 1.3455455064034565, 600, 617, 2.2236, 0.184396, 0.518296, 0.148148, 0.828513, 0.000159979, 0.508541, 0.0355444, 
