?fem_reduce,K,epssqr,abserr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
1e0,2,1,4.09895e+06,1,2,1, 1.75007, 0.020741, 1.44102, 0, 0, 63, 64, 1.2615580558776855, 0.0025360584259033203, 0.0047390460968017578, 0.0032289028167724609, 1.71661376953125e-05, 0, 0.0053398609161376953, 1.245697021484375, 8.6010620346925304, 8.1837634502967944, 0.41729858439573597, 63, 64, 1.26156, 0.170463, 0.327159, 0.211199, 0.1938, 4.33922e-05, 0.356126, 0.00276709, 
1e0,2,2,4.09895e+06,1,2,2, 2.25597, 0.0412869, 1.61299, 0, 0, 1, 2, 0.034314870834350586, 0.0026090145111083984, 0.0047359466552734375, 0.0032100677490234375, 1.6927719116210938e-05, 0, 0.0053880214691162109, 0.018354892730712891, 9.0183601925308707, 8.1837640039954884, 0.83459618853538142, 64, 66, 1.29587, 0.175663, 0.336513, 0.214409, 0.196737, 4.33922e-05, 0.367074, 0.00543284, 
1e0,2,3,3.75168e+06,1,2,3, 4.75664, 0.0613458, 3.83507, 0, 0, 106, 107, 2.0158538818359375, 0.0026288032531738281, 0.0047621726989746094, 0.0031478404998779297, 1.5974044799804688e-05, 0, 0.0053319931030273438, 1.999967098236084, 9.0652405036396821, 8.6711785551472023, 0.39406194849247911, 170, 173, 3.31173, 0.4521, 0.847748, 0.552209, 0.507228, 8.44002e-05, 0.944075, 0.00828338, 
1e0,2,4,3.75168e+06,1,2,4, 5.23527, 0.0814366, 3.99532, 0, 0, 1, 2, 0.03638911247253418, 0.0033440589904785156, 0.0049870014190673828, 0.0032830238342285156, 1.6927719116210938e-05, 0, 0.0055000782012939453, 0.019258022308349609, 9.1965943580619331, 8.6711789649862556, 0.52541539307567797, 171, 175, 3.34812, 0.458165, 0.857525, 0.555492, 0.510175, 8.44002e-05, 0.955393, 0.0112822, 
1e0,2,5,3.53274e+06,1,2,5, 8.94041, 0.101871, 7.40923, 0, 0, 165, 166, 3.1832699775695801, 0.0025861263275146484, 0.0049328804016113281, 0.0032169818878173828, 1.6927719116210938e-05, 0, 0.0054440498352050781, 3.1670730113983154, 9.2540903369940661, 8.9098205881649015, 0.34426974882916583, 336, 341, 6.53139, 0.892418, 1.68352, 1.08481, 0.993144, 0.000143528, 1.86318, 0.0141683, 
1e0,2,6,3.53274e+06,1,2,6, 9.43904, 0.121901, 7.54014, 0, 0, 1, 2, 0.035628080368041992, 0.0026841163635253906, 0.0049369335174560547, 0.0032889842987060547, 1.5974044799804688e-05, 0, 0.0055019855499267578, 0.01920008659362793, 9.3229442279983914, 8.9098208912091721, 0.41312333678921981, 337, 343, 6.56701, 0.897828, 1.69322, 1.0881, 0.996071, 0.00014472, 1.87444, 0.0172093, 
1e0,2,7,3.53274e+06,1,2,7, 9.98235, 0.142338, 7.75315, 0, 0, 1, 2, 0.035928964614868164, 0.0026810169219970703, 0.0051119327545166016, 0.0032908916473388672, 1.5974044799804688e-05, 0, 0.0055119991302490234, 0.019317150115966797, 9.3917978715612058, 8.909821539455935, 0.48197633210527113, 338, 345, 6.60294, 0.903179, 1.70328, 1.09139, 0.999019, 0.000145674, 1.88573, 0.0201972, 
1e0,2,8,3.29989e+06,1,2,8, 15.9571, 0.162776, 13.4495, 0, 0, 288, 289, 5.5490071773529053, 0.0025339126586914062, 0.0049090385437011719, 0.0032179355621337891, 1.5974044799804688e-05, 0, 0.0054240226745605469, 5.5329062938690186, 9.4045595046478994, 9.1084377181974716, 0.29612178645042886, 626, 634, 12.152, 1.66153, 3.14267, 2.0209, 1.84153, 0.000262737, 3.46178, 0.0232701, 
1e0,2,9,3.29989e+06,1,2,9, 16.4624, 0.183209, 13.6236, 0, 0, 1, 2, 0.03523707389831543, 0.0027139186859130859, 0.0049569606781005859, 0.0032980442047119141, 1.5974044799804688e-05, 0, 0.0055141448974609375, 0.018738031387329102, 9.4415747009089177, 9.1084379380752356, 0.33313676283368154, 627, 636, 12.1872, 1.66693, 3.15243, 2.0242, 1.84447, 0.000262737, 3.47296, 0.0259371, 
1e0,2,10,3.29989e+06,1,2,10, 16.9823, 0.203669, 13.7774, 0, 0, 1, 2, 0.035206079483032227, 0.0026330947875976562, 0.0049510002136230469, 0.0032598972320556641, 1.6927719116210938e-05, 0, 0.0055201053619384766, 0.018825054168701172, 9.478589785736947, 9.1084383953560319, 0.37015139038091416, 628, 638, 12.2224, 1.67225, 3.16223, 2.02746, 1.84743, 0.000262737, 3.4841, 0.0286601, 
