?spgqp_err,K,epssqr,abserr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
1e-6,2,1,4.76843e+06,1,2,1, 0.908488, 0.268326, 0.325953, 0, 0, 29, 30, 0.15681695938110352, 0.00029087066650390625, 0.0007801055908203125, 0.00023198127746582031, 0.00023889541625976562, 0, 0.00072813034057617188, 0.15454697608947754, 993.07700888878185, 992.3181817474283, 0.75882714135326457, 29, 30, 0.156817, 0.00966287, 0.0277169, 0.00688052, 0.0397, 1.09673e-05, 0.0243475, 0.0484982, 
1e-6,2,2,4.73886e+06,1,2,2, 1.69365, 0.56847, 0.567506, 0, 0, 39, 40, 0.13692879676818848, 0.00026178359985351562, 0.00077795982360839844, 0.00023102760314941406, 0.00023889541625976562, 0, 0.0007228851318359375, 0.13469624519348145, 993.74075814387402, 992.585511029896, 1.1552471139778637, 68, 70, 0.293746, 0.0216899, 0.0589192, 0.0159476, 0.0934687, 1.62125e-05, 0.0549479, 0.0487564, 
1e-6,2,3,4.71335e+06,1,2,3, 2.53962, 0.78022, 0.920491, 0, 0, 40, 41, 0.13874316215515137, 0.00026202201843261719, 0.00077009201049804688, 0.00023198127746582031, 0.00023913383483886719, 0, 0.00071978569030761719, 0.1365201473236084, 994.24870046968954, 992.91210068667272, 1.3365997830162186, 108, 111, 0.432489, 0.0327625, 0.0911529, 0.0252755, 0.14733, 2.38419e-05, 0.086854, 0.0490901, 
1e-6,2,4,4.69091e+06,1,2,4, 3.86473, 1.13561, 1.22611, 0, 0, 44, 45, 0.1549069881439209, 0.00026297569274902344, 0.00081396102905273438, 0.00023293495178222656, 0.00023412704467773438, 0, 0.00073790550231933594, 0.15262508392333984, 994.64427618097238, 993.2406004139691, 1.4036757670032558, 152, 156, 0.587396, 0.0450447, 0.127864, 0.0358291, 0.207225, 3.95775e-05, 0.121964, 0.0494294, 
1e-6,2,5,4.67085e+06,1,2,5, 4.83235, 1.36166, 1.68542, 0, 0, 55, 56, 0.19224810600280762, 0.00027394294738769531, 0.00096392631530761719, 0.00024390220642089844, 0.00024390220642089844, 0, 0.00076007843017578125, 0.18976235389709473, 994.95936083059667, 993.54492561594259, 1.4144352146536356, 207, 212, 0.779644, 0.0605218, 0.173609, 0.0493464, 0.280572, 4.52995e-05, 0.165662, 0.0498874, 
1e-6,2,6,4.65306e+06,1,2,6, 5.89677, 1.60436, 2.16039, 0, 0, 58, 59, 0.20093607902526855, 0.00026106834411621094, 0.00079298019409179688, 0.00023198127746582031, 0.0002269744873046875, 0, 0.00095987319946289062, 0.19846320152282715, 995.21618218828348, 993.81653633334292, 1.3996458549398965, 265, 271, 0.98058, 0.076834, 0.221015, 0.0631876, 0.357647, 5.81741e-05, 0.211473, 0.050365, 
1e-6,2,7,4.63676e+06,1,2,7, 6.77914, 1.86084, 2.53142, 0, 0, 68, 69, 0.23936295509338379, 0.00027608871459960938, 0.00081801414489746094, 0.00023102760314941406, 0.0002269744873046875, 0, 0.00080204010009765625, 0.23700881004333496, 995.43010840403178, 994.05585875491988, 1.3742496491122083, 333, 340, 1.21994, 0.0960872, 0.277973, 0.0797787, 0.449307, 7.10487e-05, 0.265976, 0.0507493, 
1e-6,2,8,4.62203e+06,1,2,8, 7.8478, 2.0876, 3.04516, 0, 0, 71, 72, 0.24249601364135742, 0.00026202201843261719, 0.00078892707824707031, 0.00017714500427246094, 0.0002269744873046875, 0, 0.0007419586181640625, 0.24029898643493652, 995.6117565841439, 994.26621107774031, 1.3455455064034583, 404, 412, 1.46244, 0.115361, 0.335472, 0.095124, 0.543963, 8.36849e-05, 0.321024, 0.0514104, 
1e-6,2,9,4.60797e+06,1,2,9, 8.93206, 2.30076, 3.60134, 0, 0, 79, 80, 0.27145218849182129, 0.00026392936706542969, 0.00077795982360839844, 0.00023198127746582031, 0.00023412704467773438, 0, 0.00072383880615234375, 0.26922035217285156, 995.7685623046948, 994.45184431963344, 1.3167179850618016, 483, 492, 1.73389, 0.138016, 0.399072, 0.114079, 0.649682, 9.46522e-05, 0.381181, 0.0517676, 
1e-6,2,10,4.59484e+06,1,2,10, 9.79757, 2.5202, 4.03839, 0, 0, 80, 81, 0.27531099319458008, 0.00026488304138183594, 0.00079011917114257812, 0.00023198127746582031, 0.00023794174194335938, 0, 0.0012869834899902344, 0.27249908447265625, 995.90585515189878, 994.61670419644258, 1.2891509554550769, 563, 573, 2.0092, 0.161022, 0.462795, 0.132783, 0.757653, 0.000105858, 0.442724, 0.052119, 
