?fem_reduce,K,epssqr,abserr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
1e0,2,1,3290.36,1,2,1, 1.10119, 0.0207109, 0.775335, 0, 0, 30, 31, 0.64636516571044922, 0.0026271343231201172, 0.0049080848693847656, 0.0032958984375, 1.5974044799804688e-05, 0, 0.00551605224609375, 0.63000202178955078, 0.010731406266062038, 0.010302895139211199, 0.00042851112685083861, 30, 31, 0.646365, 0.0914419, 0.165476, 0.108517, 0.0948129, 3.31402e-05, 0.183155, 0.00292921, 
1e0,2,2,3290.37,1,2,2, 1.58292, 0.0412097, 0.960376, 0, 0, 1, 2, 0.035693883895874023, 0.0026059150695800781, 0.0049369335174560547, 0.0032110214233398438, 1.6927719116210938e-05, 0, 0.0054559707641601562, 0.01946711540222168, 0.011159917191322619, 0.010302895354935044, 0.00085702183638757619, 31, 33, 0.682059, 0.0968287, 0.175889, 0.111728, 0.0977609, 3.43323e-05, 0.194193, 0.00562525, 
1e0,2,3,3290.37,1,2,3, 2.35428, 0.061667, 1.38869, 0, 0, 1, 2, 0.035439014434814453, 0.0026929378509521484, 0.0049419403076171875, 0.0033221244812011719, 1.5974044799804688e-05, 0, 0.0055539608001708984, 0.018912076950073242, 0.011588427270082118, 0.010302895803515694, 0.0012855314665664234, 32, 35, 0.717498, 0.102182, 0.185589, 0.115051, 0.10069, 3.52859e-05, 0.205614, 0.00833821, 
1e0,2,4,3290.38,1,2,4, 2.81343, 0.0817127, 1.51079, 0, 0, 1, 2, 0.03644108772277832, 0.0026960372924804688, 0.0049450397491455078, 0.0037610530853271484, 1.71661376953125e-05, 0, 0.0055398941040039062, 0.019481897354125977, 0.012016935839589253, 0.010302896486809831, 0.0017140393527794247, 33, 37, 0.753939, 0.107543, 0.195394, 0.118812, 0.103623, 3.52859e-05, 0.216954, 0.0115783, 
1e0,2,5,3290.39,1,2,5, 3.27498, 0.102351, 1.69603, 0, 0, 1, 2, 0.035650968551635742, 0.0026957988739013672, 0.0049591064453125, 0.0033349990844726562, 1.6927719116210938e-05, 0, 0.0056200027465820312, 0.019024133682250977, 0.012445442235481309, 0.010302897406303449, 0.0021425448291778598, 34, 39, 0.78959, 0.112886, 0.20515, 0.122147, 0.10657, 3.62396e-05, 0.228261, 0.0145411, 
1e0,2,6,3290.4,1,2,6, 4.4733, 0.122873, 1.83551, 0, 0, 1, 2, 0.035620927810668945, 0.0027759075164794922, 0.0049641132354736328, 0.0033318996429443359, 1.5974044799804688e-05, 0, 0.0055449008941650391, 0.018988132476806641, 0.012873945792419697, 0.010302898563184594, 0.0025710472292351061, 35, 41, 0.825211, 0.118342, 0.214906, 0.125479, 0.109508, 3.74317e-05, 0.239533, 0.017406, 
1e0,2,7,3290.41,1,2,7, 5.01277, 0.143392, 1.97999, 0, 0, 1, 2, 0.035386085510253906, 0.0026879310607910156, 0.0049941539764404297, 0.0032889842987060547, 1.6927719116210938e-05, 0, 0.0055639743804931641, 0.018834114074707031, 0.013302445844461528, 0.010302899958294648, 0.0029995458861668805, 36, 43, 0.860597, 0.123676, 0.224694, 0.128767, 0.112464, 3.83854e-05, 0.250799, 0.0201581, 
1e0,2,8,3290.43,1,2,8, 5.52613, 0.163439, 2.18941, 0, 0, 1, 2, 0.036782979965209961, 0.0027129650115966797, 0.0049760341644287109, 0.0033588409423828125, 1.6927719116210938e-05, 0, 0.0060589313507080078, 0.019659280776977539, 0.013730941725335335, 0.010302901592144946, 0.0034280401331903895, 37, 45, 0.89738, 0.129083, 0.234446, 0.132126, 0.115399, 3.93391e-05, 0.26271, 0.0235763, 
1e0,2,9,3290.45,1,2,9, 6.01583, 0.183919, 2.3301, 0, 0, 1, 2, 0.035479068756103516, 0.0027010440826416016, 0.0049459934234619141, 0.0033059120178222656, 1.71661376953125e-05, 0, 0.005519866943359375, 0.018989086151123047, 0.014159432768599482, 0.010302903465142052, 0.0038565293034574311, 38, 47, 0.932859, 0.134423, 0.244187, 0.135432, 0.118341, 3.93391e-05, 0.273921, 0.0265141, 
1e0,2,10,3290.47,1,2,10, 6.47024, 0.204154, 2.46532, 0, 0, 1, 2, 0.035591840744018555, 0.0027780532836914062, 0.0049929618835449219, 0.0032911300659179688, 1.71661376953125e-05, 0, 0.0055208206176757812, 0.018991708755493164, 0.014587918307706126, 0.010302905577597611, 0.0042850127301085131, 39, 49, 0.968451, 0.139823, 0.254027, 0.138723, 0.121288, 3.93391e-05, 0.285038, 0.029511, 
1e0,2,20,3290.51,1,2,11, 6.98002, 0.224241, 2.61103, 0, 0, 1, 2, 0.035773992538452148, 0.0026888847351074219, 0.004940032958984375, 0.0033469200134277344, 1.6927719116210938e-05, 0, 0.0055260658264160156, 0.019255161285400391, 0.018872851434557109, 0.01030291009176066, 0.0085699413427964485, 40, 51, 1.00423, 0.145145, 0.263764, 0.14207, 0.124238, 4.02927e-05, 0.296299, 0.0326669, 
1e0,2,30,3290.58,1,2,12, 7.39836, 0.244628, 2.80452, 0, 0, 1, 2, 0.035365104675292969, 0.002696990966796875, 0.0049340724945068359, 0.0033178329467773438, 1.6927719116210938e-05, 0, 0.0055000782012939453, 0.018899202346801758, 0.023157636158316619, 0.010302917011783194, 0.012854719146533425, 41, 53, 1.03959, 0.150499, 0.27347, 0.145388, 0.127183, 4.02927e-05, 0.307555, 0.035454, 
1e0,2,40,3290.67,1,2,13, 7.88367, 0.264713, 3.04247, 0, 0, 1, 2, 0.03558802604675293, 0.0026829242706298828, 0.0049340724945068359, 0.0033168792724609375, 1.7881393432617188e-05, 0, 0.0055260658264160156, 0.019110202789306641, 0.02744220579594861, 0.010302926338649716, 0.017139279457298894, 42, 55, 1.07518, 0.155823, 0.2832, 0.148705, 0.130133, 4.02927e-05, 0.318835, 0.0384419, 
1e0,2,50,28265,1,2,14, 11.1242, 0.284793, 6.04489, 0, 0, 146, 147, 2.842566967010498, 0.0025970935821533203, 0.00492095947265625, 0.0032238960266113281, 1.6927719116210938e-05, 0, 0.0054750442504882812, 2.8263330459594727, 0.015627765078796211, 0.012796643303842807, 0.0028311217749534055, 188, 202, 3.91775, 0.546256, 1.00801, 0.634221, 0.562984, 0.000144005, 1.12433, 0.041801, 
1e0,2,60,28265,1,2,15, 11.6422, 0.305042, 6.28081, 0, 0, 1, 2, 0.035655021667480469, 0.0027470588684082031, 0.0050139427185058594, 0.0033390522003173828, 1.6927719116210938e-05, 0, 0.0055470466613769531, 0.018990993499755859, 0.0161939893658282, 0.012796643644354979, 0.003397345721473221, 189, 204, 3.9534, 0.551664, 1.01781, 0.63756, 0.565923, 0.000144005, 1.13561, 0.0446882, 
1e0,2,70,28265,1,2,16, 12.1189, 0.325534, 6.47983, 0, 0, 1, 2, 0.035146951675415039, 0.0026471614837646484, 0.0049238204956054688, 0.0032999515533447266, 1.811981201171875e-05, 0, 0.0055358409881591797, 0.018722057342529297, 0.016760213380075058, 0.012796644328551873, 0.0039635690515231808, 190, 206, 3.98855, 0.556953, 1.02752, 0.64086, 0.568872, 0.000144005, 1.14676, 0.0474374, 
1e0,2,80,28265.1,1,2,17, 12.6145, 0.345752, 6.74836, 0, 0, 1, 2, 0.036498069763183594, 0.0027029514312744141, 0.0049500465393066406, 0.0032780170440673828, 1.6927719116210938e-05, 0, 0.00627899169921875, 0.019271135330200195, 0.017326436915372733, 0.012796645358446809, 0.0045297915569259229, 191, 208, 4.02505, 0.56228, 1.03725, 0.644138, 0.571802, 0.000144958, 1.15879, 0.0506365, 
1e0,2,90,28265.1,1,2,18, 13.0786, 0.366256, 6.9459, 0, 0, 1, 2, 0.0350189208984375, 0.0026140213012695312, 0.0048780441284179688, 0.0032799243927001953, 1.7881393432617188e-05, 0, 0.005496978759765625, 0.018732070922851562, 0.017892659764828504, 0.012796646735363083, 0.005096013029465424, 192, 210, 4.06006, 0.567521, 1.04691, 0.647418, 0.574799, 0.000146151, 1.16989, 0.0533752, 
1e0,2,100,28265.1,1,2,19, 13.5616, 0.386909, 7.08971, 0, 0, 1, 2, 0.035126924514770508, 0.0026371479034423828, 0.0049610137939453125, 0.0032908916473388672, 1.6927719116210938e-05, 0, 0.0054979324340820312, 0.018723011016845703, 0.018458881721126225, 0.012796648460218503, 0.0056622332609077199, 193, 212, 4.09519, 0.572823, 1.05662, 0.650709, 0.577753, 0.000147343, 1.18101, 0.0561273, 
1e0,2,200,28265.1,1,2,20, 14.0365, 0.407398, 7.31924, 0, 0, 1, 2, 0.035293817520141602, 0.00269317626953125, 0.0049269199371337891, 0.0033099651336669922, 1.6927719116210938e-05, 9.5367431640625e-07, 0.0055389404296875, 0.018806934356689453, 0.024121099459209171, 0.012796653684637511, 0.011324445774571659, 194, 214, 4.13048, 0.578163, 1.06631, 0.654019, 0.5807, 0.000148296, 1.19221, 0.0589352, 
1e0,2,300,28265.2,1,2,21, 14.5611, 0.427461, 7.54338, 0, 0, 1, 2, 0.035648107528686523, 0.0026850700378417969, 0.0049469470977783203, 0.0032911300659179688, 1.6927719116210938e-05, 0, 0.0055041313171386719, 0.019203901290893555, 0.029783279136611291, 0.012796662419862676, 0.016986616716748615, 195, 216, 4.16613, 0.583471, 1.07605, 0.65731, 0.583667, 0.00014925, 1.20342, 0.0620663, 
1e0,2,400,28265.3,1,2,22, 15.0217, 0.447943, 7.75944, 0, 0, 1, 2, 0.035076141357421875, 0.0026371479034423828, 0.0049169063568115234, 0.0032820701599121094, 1.71661376953125e-05, 0, 0.0055370330810546875, 0.018685817718505859, 0.035445399931750624, 0.012796674668641313, 0.022648725263109307, 196, 218, 4.20121, 0.588722, 1.08575, 0.660592, 0.586614, 0.000150204, 1.21455, 0.0648274, 
1e0,2,500,28265.5,1,2,23, 15.4714, 0.46819, 7.88197, 0, 0, 1, 2, 0.035380125045776367, 0.0026841163635253906, 0.0048439502716064453, 0.0032548904418945312, 1.6927719116210938e-05, 0, 0.0054590702056884766, 0.019121170043945312, 0.041107441027094328, 0.012796690431757348, 0.028310750595336977, 197, 220, 4.23659, 0.594023, 1.09535, 0.663847, 0.589575, 0.000151157, 1.22566, 0.0679815, 
