?fem_reduce,K,epssqr,abserr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
1e0,2,1,1.29548,1,2,1, 0.300523, 8.39233e-05, 0.29777, 0, 0, 26, 27, 0.29758596420288086, 0.010741472244262695, 0.00013589859008789062, 2.2649765014648438e-05, 2.7418136596679688e-05, 4.5299530029296875e-06, 0.0001621246337890625, 0.28649187088012695, 0.10931480615051553, 0.10317356069451687, 0.0061412454559986842, 26, 27, 0.297586, 0.27197, 0.00812626, 0.000850677, 0.00792575, 0.000205994, 0.00616598, 0.00234103, 
1e0,2,2,1.58537,1,2,2, 0.504318, 0.000120163, 0.500387, 0, 0, 16, 17, 0.20206642150878906, 0.0087480545043945312, 0.00011587142944335938, 1.9788742065429688e-05, 2.5272369384765625e-05, 4.0531158447265625e-06, 0.00016188621520996094, 0.19299149513244629, 0.11417521487094755, 0.10606434967512578, 0.0081108651958217547, 42, 44, 0.499652, 0.445306, 0.013303, 0.00131321, 0.0255959, 0.000363827, 0.0105028, 0.003268, 
1e0,2,3,1.76377,1,2,3, 0.765867, 0.000156641, 0.760582, 0, 0, 22, 23, 0.2600255012512207, 0.0099444389343261719, 0.00014448165893554688, 1.9311904907226562e-05, 5.1259994506835938e-05, 2.6226043701171875e-06, 0.00016474723815917969, 0.24969863891601562, 0.11775982145644558, 0.10826457817654908, 0.0094952432798965352, 64, 67, 0.759678, 0.683992, 0.0175886, 0.00186491, 0.0342188, 0.00223279, 0.0151329, 0.00464773, 
1e0,2,4,1.91725,1,2,4, 1.03479, 0.000221014, 1.02759, 0, 0, 22, 23, 0.26684689521789551, 0.0085530281066894531, 0.00012302398681640625, 3.0279159545898438e-05, 2.4080276489257812e-05, 3.5762786865234375e-06, 0.00015711784362792969, 0.25795578956604004, 0.12063511700594326, 0.11009505623776386, 0.010540060768179415, 86, 90, 1.02652, 0.911924, 0.0222766, 0.00247407, 0.0619202, 0.00240231, 0.0191915, 0.00633645, 
1e0,2,5,2.044,1,2,5, 1.25961, 0.000259399, 1.2515, 0, 0, 18, 19, 0.22374773025512695, 0.0094997882843017578, 0.0001373291015625, 2.002716064453125e-05, 2.5510787963867188e-05, 2.6226043701171875e-06, 0.00018429756164550781, 0.21387815475463867, 0.1231035087403288, 0.11148872681010794, 0.011614781930220901, 104, 109, 1.25027, 1.1146, 0.0267565, 0.0030539, 0.0730977, 0.00252938, 0.0229254, 0.00730729, 
1e0,2,6,2.14901,1,2,6, 1.55664, 0.000296831, 1.54723, 0, 0, 23, 24, 0.29554986953735352, 0.012902736663818359, 0.00012302398681640625, 2.2411346435546875e-05, 5.7458877563476562e-05, 2.86102294921875e-06, 0.00016236305236816406, 0.28227901458740234, 0.12531465762399538, 0.11266118827776489, 0.01265346934623051, 127, 133, 1.54582, 1.38424, 0.0306394, 0.00369406, 0.0876343, 0.0026834, 0.0280788, 0.00885272, 
1e0,2,7,2.23768,1,2,7, 1.79324, 0.000333309, 1.78286, 0, 0, 18, 19, 0.23543429374694824, 0.011437892913818359, 0.00011777877807617188, 5.3644180297851562e-05, 2.7894973754882812e-05, 3.814697265625e-06, 0.00015926361083984375, 0.22363400459289551, 0.12732993695553366, 0.1138031391038363, 0.013526797851697352, 145, 152, 1.78126, 1.59525, 0.0335438, 0.0041523, 0.091841, 0.00283384, 0.0377245, 0.015908, 
1e0,2,8,2.31433,1,2,8, 2.03456, 0.000371218, 2.02309, 0, 0, 18, 19, 0.23993897438049316, 0.012425422668457031, 0.00013017654418945312, 4.863739013671875e-05, 3.1232833862304688e-05, 2.6226043701171875e-06, 0.00016474723815917969, 0.22713613510131836, 0.12919550482011222, 0.11474417480595062, 0.014451330014161639, 163, 171, 2.0212, 1.80093, 0.0423496, 0.0146999, 0.101943, 0.00300622, 0.0412576, 0.0170135, 
1e0,2,9,2.38319,1,2,9, 2.26425, 0.000408649, 2.25181, 0, 0, 18, 19, 0.22851395606994629, 0.0095999240875244141, 0.00013017654418945312, 3.7908554077148438e-05, 4.2438507080078125e-05, 2.6226043701171875e-06, 0.0001850128173828125, 0.21851587295532227, 0.13094635980987437, 0.11565269524767405, 0.015293664562200375, 181, 190, 2.24971, 2.01211, 0.048445, 0.0154388, 0.10634, 0.00312376, 0.0456901, 0.0185578, 
1e0,2,10,2.43999,1,2,10, 2.42631, 0.000446558, 2.41284, 0, 0, 11, 12, 0.1608576774597168, 0.0087237358093261719, 0.00020074844360351562, 2.1219253540039062e-05, 2.9802322387695312e-05, 3.5762786865234375e-06, 0.00016188621520996094, 0.15171670913696289, 0.13259790993131473, 0.11650369619222917, 0.016094213739085567, 192, 202, 2.41057, 2.15331, 0.0513706, 0.0158229, 0.118097, 0.00321221, 0.0494635, 0.0192866, 
1e0,2,20,2.82687,1,2,11, 2.89593, 0.000484467, 2.86783, 0, 0, 38, 39, 0.45481491088867188, 0.0065648555755615234, 0.00013947486877441406, 2.47955322265625e-05, 6.8902969360351562e-05, 4.0531158447265625e-06, 0.00016736984252929688, 0.447845458984375, 0.14601477360209209, 0.12278536907793536, 0.023229404524156658, 230, 241, 2.86538, 2.55162, 0.0592823, 0.0168631, 0.155146, 0.00388575, 0.0568454, 0.0217426, 
1e0,2,30,3.07332,1,2,12, 3.39348, 0.000525951, 3.36429, 0, 0, 39, 40, 0.49628114700317383, 0.011078596115112305, 0.00027489662170410156, 2.5510787963867188e-05, 5.4121017456054688e-05, 4.0531158447265625e-06, 0.00019526481628417969, 0.48464870452880859, 0.15652470711195307, 0.12764687322604079, 0.028877833885912307, 269, 281, 3.36166, 3.0091, 0.0736723, 0.0182402, 0.16702, 0.00418806, 0.0655568, 0.0238812, 
1e0,2,40,3.25477,1,2,13, 3.71405, 0.000564337, 3.6838, 0, 0, 25, 26, 0.3162839412689209, 0.0089757442474365234, 0.00046849250793457031, 0.00014209747314453125, 2.6464462280273438e-05, 4.5299530029296875e-06, 0.00018548965454101562, 0.30648112297058105, 0.16551407894026404, 0.1315006406994646, 0.03401343824079938, 294, 307, 3.67795, 3.30317, 0.0781546, 0.0196204, 0.176774, 0.0045135, 0.0703187, 0.0253987, 
1e0,2,50,3.41826,1,2,14, 4.20617, 0.000601768, 4.17501, 0, 0, 36, 37, 0.49098110198974609, 0.010121583938598633, 0.00015616416931152344, 3.0279159545898438e-05, 2.9087066650390625e-05, 2.6226043701171875e-06, 0.00094437599182128906, 0.47969698905944824, 0.17352433747798321, 0.13527170127526278, 0.038252636202720472, 330, 344, 4.16893, 3.7558, 0.0884988, 0.0206811, 0.193439, 0.00476861, 0.0778921, 0.0278456, 
1e0,2,60,3.55762,1,2,15, 4.68026, 0.000640154, 4.6479, 0, 0, 35, 36, 0.47267818450927734, 0.015903472900390625, 0.00012421607971191406, 2.0265579223632812e-05, 2.3365020751953125e-05, 3.5762786865234375e-06, 0.00015854835510253906, 0.45644474029541016, 0.18081084936553959, 0.13867238948608054, 0.042138459879459016, 365, 380, 4.64161, 4.18999, 0.0987761, 0.0218925, 0.209814, 0.00506353, 0.0853705, 0.0307014, 
1e0,2,70,3.67055,1,2,16, 5.13629, 0.000678778, 5.10265, 0, 0, 30, 31, 0.45298886299133301, 0.010991573333740234, 0.00013256072998046875, 2.1219253540039062e-05, 2.8133392333984375e-05, 3.3855438232421875e-05, 0.00016331672668457031, 0.44161820411682129, 0.1875367038894033, 0.14153616934557142, 0.046000534543832058, 395, 411, 5.0946, 4.54896, 0.124852, 0.022999, 0.268359, 0.00530219, 0.0911996, 0.0329261, 
1e0,2,80,3.78479,1,2,17, 5.52871, 0.000720024, 5.49407, 0, 0, 31, 32, 0.39126300811767578, 0.01021575927734375, 0.0001239776611328125, 2.1219253540039062e-05, 2.6702880859375e-05, 4.291534423828125e-06, 0.00016260147094726562, 0.38070845603942871, 0.19380819140894451, 0.14450327209366987, 0.049304919315274642, 426, 443, 5.48586, 4.8992, 0.134492, 0.0238883, 0.290493, 0.00555801, 0.097297, 0.0349274, 
1e0,2,90,3.90662,1,2,18, 6.0974, 0.000760317, 6.0617, 0, 0, 44, 45, 0.56739306449890137, 0.021497726440429688, 0.000118255615234375, 1.9311904907226562e-05, 2.8371810913085938e-05, 2.6226043701171875e-06, 0.000152587890625, 0.54557418823242188, 0.19968863906194073, 0.14784947796857073, 0.051839161093370015, 470, 488, 6.05325, 5.40602, 0.146764, 0.0250821, 0.32603, 0.00591803, 0.106005, 0.0374362, 
