?spgqp_err,K,epssqr,abserr,energy,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
1e-6,2,1,4.09758e+06,1.42568e+06,1,2,1, 28.1728, 0.00216889, 11.1586, 0, 0, 54, 55, 0.61622810363769531, 0.0033719539642333984, 0.0019330978393554688, 0.00030088424682617188, 0.00018596649169921875, 0, 0.0029718875885009766, 0.60746431350708008, 8.6007581639639312, 8.1832573285186712, 0.41750083544526118, 54, 55, 0.616228, 0.201833, 0.194403, 0.0178154, 0.045095, 2.7895e-05, 0.0853741, 0.0716798, 
1e-6,2,2,4.09758e+06,1.45838e+06,1,2,2, 56.2477, 0.00264883, 17.3022, 0, 0, 1, 2, 0.016976833343505859, 0.0032970905303955078, 0.0040318965911865234, 0.00030207633972167969, 0.00018787384033203125, 0, 0.0018939971923828125, 0.0072638988494873047, 9.0182585722400344, 8.1832578829615628, 0.83500068927847182, 55, 57, 0.633205, 0.205769, 0.202202, 0.0181174, 0.0462928, 2.7895e-05, 0.0888162, 0.0719798, 
1e-6,2,3,3.74865e+06,1.5281e+06,1,2,3, 85.5936, 0.00313878, 29.4463, 0, 0, 100, 101, 0.76659584045410156, 0.0031771659851074219, 0.0018839836120605469, 0.00022196769714355469, 0.00018286705017089844, 0, 0.00098109245300292969, 0.76014876365661621, 9.0648562677536262, 8.6710817103680462, 0.39377455738557876, 155, 158, 1.3998, 0.537097, 0.417134, 0.0449386, 0.12686, 7.03335e-05, 0.201209, 0.0724914, 
1e-6,2,4,3.74865e+06,1.40053e+06,1,2,4, 112.953, 0.00360894, 39.0448, 0, 0, 1, 2, 0.01146697998046875, 0.0030729770660400391, 0.00185394287109375, 0.00025987625122070312, 0.00018405914306640625, 0, 0.00090384483337402344, 0.0051922798156738281, 9.1961143251837676, 8.6710821199929278, 0.52503220519083826, 156, 160, 1.41127, 0.540776, 0.421162, 0.0451984, 0.128231, 7.03335e-05, 0.203081, 0.0727494, 
1e-6,2,5,3.52942e+06,1.55995e+06,1,2,5, 141.077, 0.00408983, 46.4508, 0, 0, 153, 154, 1.1726257801055908, 0.0032038688659667969, 0.0022699832916259766, 0.00035405158996582031, 0.00018811225891113281, 0, 0.0012478828430175781, 1.1653618812561035, 9.2535721700152429, 8.9095247186847555, 0.34404745133048775, 309, 314, 2.58389, 1.03622, 0.758792, 0.0857797, 0.255183, 0.000149012, 0.374438, 0.0733306, 
1e-6,2,6,3.52942e+06,1.36092e+06,1,2,6, 167.297, 0.00456166, 56.6873, 0, 0, 1, 2, 0.014637947082519531, 0.0029969215393066406, 0.0028760433197021484, 0.00026011466979980469, 0.00018310546875, 0, 0.0015878677368164062, 0.0067338943481445312, 9.3223816015862475, 8.909525021407358, 0.4128565801788866, 310, 316, 2.59853, 1.03984, 0.764445, 0.0860398, 0.256979, 0.000149012, 0.377458, 0.0736198, 
1e-6,2,7,3.52942e+06,1.36815e+06,1,2,7, 193.843, 0.00503659, 67.5821, 0, 0, 1, 2, 0.015375137329101562, 0.0041670799255371094, 0.0023820400238037109, 0.00029206275939941406, 0.00018286705017089844, 0, 0.0010411739349365234, 0.0073099136352539062, 9.3911907859531354, 8.9095256691485805, 0.48166511680455493, 311, 318, 2.61391, 1.04488, 0.770115, 0.0863318, 0.258147, 0.000149012, 0.380269, 0.0740178, 
1e-6,2,8,3.2963e+06,1.58848e+06,1,2,8, 222.894, 0.00551653, 78.3383, 0, 0, 231, 232, 1.7199130058288574, 0.0031440258026123047, 0.0017528533935546875, 0.00022411346435546875, 0.00018405914306640625, 0, 0.00093603134155273438, 1.7136719226837158, 9.4039721582886102, 9.1079607068752146, 0.29601145141339502, 542, 550, 4.33382, 1.78604, 1.25919, 0.147599, 0.438071, 0.000248194, 0.627815, 0.0748599, 
1e-6,2,9,3.2963e+06,1.44894e+06,1,2,9, 251.555, 0.00600076, 91.675, 0, 0, 1, 2, 0.012217998504638672, 0.0029790401458740234, 0.0019268989562988281, 0.00023794174194335938, 0.00018310546875, 0, 0.0010008811950683594, 0.0058901309967041016, 9.4409735626793481, 9.1079609266878041, 0.33301263599154357, 543, 552, 4.34604, 1.78965, 1.26409, 0.147837, 0.439277, 0.000248194, 0.629777, 0.0751653, 
1e-6,2,10,3.2963e+06,1.50975e+06,1,2,10, 280.365, 0.00648785, 98.2845, 0, 0, 1, 2, 0.010341167449951172, 0.0030930042266845703, 0.0019330978393554688, 0.00023889541625976562, 0.00018596649169921875, 0, 0.00092792510986328125, 0.0039622783660888672, 9.4779748556708689, 9.1079613838038505, 0.37001347186701805, 544, 554, 4.35638, 1.79333, 1.26798, 0.148076, 0.44002, 0.000249147, 0.631336, 0.0753891, 
1e-6,2,20,2.76082e+06,1.83798e+06,1,2,11, 311.773, 0.00705194, 107.145, 0, 0, 540, 541, 4.2220149040222168, 0.0046651363372802734, 0.0023019313812255859, 0.000308990478515625, 0.00018000602722167969, 9.5367431640625e-07, 0.0011389255523681641, 4.2134189605712891, 9.6345474191118186, 9.4249492128334182, 0.20959820627840003, 1084, 1095, 8.57839, 3.71473, 2.41004, 0.291282, 0.868521, 0.000480413, 1.2165, 0.0768402, 
1e-6,2,30,2.49312e+06,2.35067e+06,1,2,12, 351.199, 0.00755596, 126.515, 0, 0, 821, 822, 5.7642509937286377, 0.0030620098114013672, 0.0017378330230712891, 0.00023603439331054688, 0.0001850128173828125, 9.5367431640625e-07, 0.00089192390441894531, 5.7581372261047363, 9.7126577879388307, 9.5364293796236588, 0.17622840831517234, 1905, 1917, 14.3426, 6.2653, 4.01476, 0.498963, 1.44393, 0.000883818, 2.03962, 0.0791874, 
1e-6,2,40,2.49312e+06,1.66316e+06,1,2,13, 384.911, 0.00806785, 141.567, 0, 0, 1, 2, 0.011348962783813477, 0.0030601024627685547, 0.0018870830535888672, 0.000247955322265625, 0.00018191337585449219, 0, 0.00097608566284179688, 0.0049958229064941406, 9.7714003275886121, 9.5364301852656173, 0.23497014232299682, 1906, 1919, 14.354, 6.26903, 4.01956, 0.499211, 1.44458, 0.00088501, 2.04128, 0.079442, 
1e-6,2,50,2.13657e+06,2.32743e+06,1,2,14, 421.799, 0.00855279, 162.29, 0, 0, 1103, 1104, 8.2417140007019043, 0.0030958652496337891, 0.001895904541015625, 0.00022387504577636719, 0.00018596649169921875, 0, 0.00090003013610839844, 8.2354123592376709, 9.7929372495984666, 9.6539516169425994, 0.13898563265586697, 3009, 3023, 22.5957, 9.70968, 6.4144, 0.797273, 2.3292, 0.00139737, 3.26133, 0.0824289, 
1e-6,2,60,2.13657e+06,1.60273e+06,1,2,15, 452.167, 0.00904489, 177.604, 0, 0, 1, 2, 0.014920949935913086, 0.0030419826507568359, 0.0029981136322021484, 0.00033998489379882812, 0.00018811225891113281, 9.5367431640625e-07, 0.00177001953125, 0.0065817832946777344, 9.8207342772332655, 9.6539521171178784, 0.16678216011538868, 3010, 3025, 22.6106, 9.71354, 6.4205, 0.797613, 2.33049, 0.00139928, 3.26435, 0.0827289, 
1e-6,2,70,2.13657e+06,1.68052e+06,1,2,16, 484.296, 0.0102429, 184.531, 0, 0, 1, 2, 0.014596939086914062, 0.0031411647796630859, 0.0018751621246337891, 0.0013499259948730469, 0.00016522407531738281, 0, 0.00099682807922363281, 0.007068634033203125, 9.8485309017522553, 9.6539531427771053, 0.19457775897514795, 3011, 3027, 22.6252, 9.71813, 6.42452, 0.798963, 2.33122, 0.00139928, 3.26718, 0.083813, 
1e-6,2,80,1.80104e+06,2.93707e+06,1,2,17, 527.739, 0.0107338, 212.042, 0, 0, 1881, 1882, 14.493120908737183, 0.0030438899993896484, 0.0033888816833496094, 0.00056409835815429688, 0.00018405914306640625, 0, 0.0021939277648925781, 14.48374605178833, 9.8511453635347479, 9.741644913119659, 0.10950045041508874, 4892, 4909, 37.1183, 15.8432, 10.5837, 1.31392, 3.91916, 0.00228906, 5.36733, 0.0887737, 
1e-6,2,90,1.80104e+06,1.701e+06,1,2,18, 559.82, 0.0112309, 220.703, 0, 0, 1, 2, 0.014026880264282227, 0.0028748512268066406, 0.0029730796813964844, 0.00027513504028320312, 0.00018596649169921875, 0, 0.0011980533599853516, 0.0065197944641113281, 9.8648328800401721, 9.7416452336347596, 0.12318764640541216, 4893, 4911, 37.1324, 15.8469, 10.5896, 1.3142, 3.92079, 0.00229001, 5.36959, 0.0890696, 
1e-6,2,100,1.80104e+06,1.57893e+06,1,2,19, 591.498, 0.0117159, 235.301, 0, 0, 1, 2, 0.01129913330078125, 0.0029890537261962891, 0.0022449493408203125, 0.0002880096435546875, 0.0001850128173828125, 0, 0.0010890960693359375, 0.0045030117034912109, 9.8785202354071977, 9.741645885184024, 0.1368743502231764, 4894, 4913, 37.1437, 15.8505, 10.5941, 1.31449, 3.92151, 0.00229001, 5.37139, 0.0893605, 
1e-6,2,200,1.18323e+06,4.82472e+06,1,2,20, 655.371, 0.0122049, 282.572, 0, 0, 4078, 4079, 31.25606107711792, 0.0029900074005126953, 0.0019161701202392578, 0.00022292137145996094, 0.00018405914306640625, 0, 0.00089907646179199219, 31.24984884262085, 9.9298481052336172, 9.8646929589491243, 0.065155146284491455, 8972, 8992, 68.3997, 28.2423, 20.0448, 2.47342, 7.41864, 0.00418234, 10.1172, 0.0992436, 
1e-6,2,300,952377,5.13951e+06,1,2,21, 719.648, 0.0126939, 329.75, 0, 0, 4915, 4916, 35.97657299041748, 0.0030062198638916016, 0.0018630027770996094, 0.00023913383483886719, 0.00018310546875, 0, 0.00090098381042480469, 35.970380544662476, 9.9532936674833739, 9.9021678966311359, 0.051125770852237448, 13887, 13908, 104.376, 43.5192, 30.3789, 3.75662, 11.2106, 0.00642157, 15.3934, 0.111159, 
1e-6,2,400,952376,1.46109e+06,1,2,22, 747.692, 0.0131841, 342.835, 0, 0, 1, 2, 0.011026859283447266, 0.0029969215393066406, 0.0018620491027832031, 0.00023484230041503906, 0.00019502639770507812, 0, 0.00097584724426269531, 0.0047621726989746094, 9.9703352883515795, 9.902168816695708, 0.068166471655871197, 13888, 13910, 104.387, 43.5229, 30.3833, 3.75685, 11.2114, 0.00642157, 15.3951, 0.111382, 
1e-6,2,500,718102,5.43684e+06,1,2,23, 814.719, 0.0136781, 394.632, 0, 0, 5677, 5678, 41.528077840805054, 0.0029690265655517578, 0.0017681121826171875, 0.0002288818359375, 0.00018405914306640625, 0, 0.00089788436889648438, 41.522029876708984, 9.9758658730697345, 9.9376419927331234, 0.038223880336609194, 19565, 19588, 145.915, 60.708, 42.5425, 5.25573, 15.6725, 0.00902295, 21.6019, 0.12575, 
1e-6,2,600,718102,1.3471e+06,1,2,24, 841.914, 0.014195, 404.94, 0, 0, 1, 2, 0.010768890380859375, 0.0029239654541015625, 0.0020160675048828125, 0.000270843505859375, 0.00018596649169921875, 9.5367431640625e-07, 0.0011019706726074219, 0.0042691230773925781, 9.9835105399188073, 9.9376425433481863, 0.045867996570620614, 19566, 19590, 145.926, 60.7117, 42.5467, 5.256, 15.6732, 0.0090239, 21.6036, 0.125978, 
1e-6,2,700,718102,1.44093e+06,1,2,25, 870.206, 0.0147519, 419.187, 0, 0, 1, 2, 0.010201930999755859, 0.0029668807983398438, 0.0019001960754394531, 0.00022983551025390625, 0.00018596649169921875, 0, 0.00092792510986328125, 0.0039911270141601562, 9.9911547642948761, 9.9376436640748835, 0.053511100219992287, 19567, 19592, 145.936, 60.7153, 42.5505, 5.25623, 15.6739, 0.0090239, 21.6052, 0.126146, 
1e-6,2,800,561626,6.8239e+06,1,2,26, 950.48, 0.0152369, 480.873, 0, 0, 7468, 7469, 55.635524988174438, 0.0029809474945068359, 0.0017328262329101562, 0.00022411346435546875, 0.00018215179443359375, 0, 0.00089788436889648438, 55.629507064819336, 9.991858453909261, 9.96121041505954, 0.030648038849722236, 27035, 27061, 201.572, 84.8629, 58.2901, 7.21445, 21.478, 0.0125294, 29.5694, 0.14445, 
1e-6,2,900,561626,1.4688e+06,1,2,27, 977.716, 0.0157146, 491.573, 0, 0, 1, 2, 0.010673046112060547, 0.0029699802398681641, 0.0020360946655273438, 0.00024294853210449219, 0.00018405914306640625, 0, 0.00092101097106933594, 0.0043189525604248047, 9.9956894159453658, 9.9612107594942465, 0.034478656451119041, 27036, 27063, 201.583, 84.8666, 58.2945, 7.2147, 21.4787, 0.0125294, 29.5709, 0.144696, 
1e-6,2,1000,561626,1.54457e+06,1,2,28, 1006.79, 0.0161927, 502.135, 0, 0, 1, 2, 0.012360095977783203, 0.0029339790344238281, 0.0021290779113769531, 0.000244140625, 0.00018596649169921875, 0, 0.0010561943054199219, 0.0058107376098632812, 9.9995202052257071, 9.9612114568090284, 0.038308748416678078, 27037, 27065, 201.595, 84.8703, 58.3001, 7.21494, 21.4794, 0.0125294, 29.5727, 0.144993, 
1e-6,2,2000,417457,8.02506e+06,1,2,29, 1102.2, 0.0166757, 578.309, 0, 0, 8901, 8902, 64.798901081085205, 0.0029981136322021484, 0.0021109580993652344, 0.00029301643371582031, 0.00018811225891113281, 0, 0.0013468265533447266, 64.791964054107666, 10.016859731103199, 9.9907071257166624, 0.026152605386537658, 35938, 35967, 266.394, 112.14, 77.0925, 9.53707, 28.3509, 0.0166552, 39.0903, 0.166866, 
